column_name;domain_name
customerPhone                ;phone
PHONE_NUMBERS                ;phone
CUST_MAIN_PHONE_NUMBER       ;phone
phone                        ;phone
home_phone                   ;phone
cell_phone                   ;phone
Phome_Contacts               ;phone
Telephone_Number             ;phone
Mobile_Numbrs                ;phone
Phone_Log                    ;phone
Mobile_Numbers               ;phone
ContactInfo                  ;phone
PhoneNumber                  ;phone
Mobile                       ;phone
WorkPhone                    ;phone
PersonalPhone                ;phone
EmergencyContact             ;phone
ContactDetails               ;phone
CommunicationDetails         ;phone
ContactInformation           ;phone
CallerID                     ;phone
DialingCode                  ;phone
DirectDial                   ;phone
Telephony                    ;phone
TelephoneNumber              ;phone
CallRecord                   ;phone
SupportNumbers               ;phone
BusinessLine                 ;phone
CompanyPhone                 ;phone
CorporatePhone               ;phone
BusinessContact              ;phone
OfficialPhone                ;phone
WorkPhoneNumber              ;phone
EmploymentInfo               ;phone
Call_History                 ;phone
EMPLOYEE_ID                  ;personal_id
SUPPLIER_ID                  ;personal_id
LAST_NAME                    ;personal_id
EMAIL                        ;personal_id
HIRE_DATE                    ;personal_id
JOB_ID                       ;personal_id
SALARY                       ;personal_id
COMMISSION_PCT               ;personal_id
JOB_ID                       ;personal_id
MANAGER_ID                   ;personal_id
PROMO_ID                     ;personal_id
PROMO_NAME                   ;personal_id
DEQUEUE_USER                 ;personal_id
MANAGER_ID                   ;personal_id
CUST_ID                      ;personal_id
CUST_LAST_NAME               ;personal_id
PersonalIdentification       ;personal_id
Personal_number              ;personal_id
Individual_ID                ;personal_id
Personal_identifier          ;personal_id
Personal_data                ;personal_id
Privacy_ID                   ;personal_id
Privacy_number               ;personal_id
Client_ID                    ;personal_id
Subscriber_ID                ;personal_id
Member_ID                    ;personal_id
Personnel_ID                 ;personal_id
Employee_ID                  ;personal_id
Student_ID                   ;personal_id
Patient_ID                   ;personal_id
Guarantor_ID                 ;personal_id
ID_Number                    ;personal_id
Unique_ID                    ;personal_id
Signature_ID                 ;personal_id
Biometric_ID                 ;personal_id
Membership_Number            ;personal_id
Loyalty_Card_Number          ;personal_id
Voucher_Code                 ;personal_id
Face_Image                   ;personal_id
Biometric_ID                 ;personal_id
Biometric_ID                 ;personal_id
Biometric_ID                 ;personal_id
Biometric_ID                 ;personal_id
customer_id                  ;personal_id
cust                         ;personal_id
SSN                          ;personal_id
Employee_ID                  ;personal_id
Contact_ID                   ;personal_id
Unique_Identifier            ;personal_id
Tax_ID                       ;personal_id
User_ID                      ;personal_id
Social Security Number       ;personal_id
Company_ID                   ;Other
Date                         ;Other
Email                        ;Other
First_Name                   ;Other
Order_ID                     ;Other
Payment_Method               ;Other
City                         ;Other
Product_ID                   ;Other
Sales_Rep_ID                 ;Other
Shipping_Address             ;Other
State                        ;Other
ZIP_Code                     ;Other
Gender                       ;Other
Job_Title                    ;Other
Marital_Status               ;Other
Yearly_Income                ;Other
Password                     ;Other
Security_Answer              ;Other
Is_Active                    ;Other
Is_Deleted                   ;Other
Last_Login                   ;Other
Login_Count                  ;Other
Permission                   ;Other
Role                         ;Other
Permission_ID                ;Other
Group                        ;Other
Created_Date                 ;Other
IP_Address                   ;Other
Modified_Date                ;Other
Time_Stamp                   ;Other
Permission                   ;Other
URL                          ;Other
Country                      ;Other
Region                       ;Other
Site_ID                      ;Other
Page_ID                      ;Other
Record_ID                    ;Other
Batch_ID                     ;Other
Submitted_Date               ;Other
Approval_Date                ;Other
Rejection_Date               ;Other
Attachment_File              ;Other
Custom_Field_1               ;Other
Progress                     ;Other
Stage                        ;Other
Task                         ;Other
Estimated_Work               ;Other
Percent_Complete             ;Other
Estimated_Work               ;Other
Actual_Work                  ;Other
Estimated_Cost               ;Other
Estimated_Cost               ;Other
Actual_Cost                  ;Other
Task_Assigned_Date           ;Other
Task_Due_Date                ;Other
Task_Completion_Date         ;Other
Description                  ;Other
History                      ;Other
Dependencies                 ;Other
Priority                     ;Other

