column_name;domain_name
customerPhone                ;100
PHONE_NUMBERS                ;100
CUST_MAIN_PHONE_NUMBER       ;100
phone                        ;100
home_phone                   ;100
cell_phone                   ;100
Phome_Contacts               ;100
Telephone_Number             ;100
Mobile_Numbrs                ;100
Phone_Log                    ;100
Mobile_Numbers               ;100
ContactInfo                  ;100
PhoneNumber                  ;100
Mobile                       ;100
WorkPhone                    ;100
PersonalPhone                ;100
EmergencyContact             ;100
ContactDetails               ;100
CommunicationDetails         ;100
ContactInformation           ;100
CallerID                     ;100
DialingCode                  ;100
DirectDial                   ;100
Telephony                    ;100
TelephoneNumber              ;100
CallRecord                   ;100
SupportNumbers               ;100
BusinessLine                 ;100
CompanyPhone                 ;100
CorporatePhone               ;100
BusinessContact              ;100
OfficialPhone                ;100
WorkPhoneNumber              ;100
EmploymentInfo               ;100
Call_History                 ;100
EMPLOYEE_ID                  ;010
SUPPLIER_ID                  ;010
LAST_NAME                    ;010
EMAIL                        ;010
HIRE_DATE                    ;010
JOB_ID                       ;010
SALARY                       ;010
COMMISSION_PCT               ;010
JOB_ID                       ;010
MANAGER_ID                   ;010
PROMO_ID                     ;010
PROMO_NAME                   ;010
DEQUEUE_USER                 ;010
MANAGER_ID                   ;010
CUST_ID                      ;010
CUST_LAST_NAME               ;010
PersonalIdentification       ;010
Personal_number              ;010
Individual_ID                ;010
Personal_identifier          ;010
Personal_data                ;010
Privacy_ID                   ;010
Privacy_number               ;010
Client_ID                    ;010
Subscriber_ID                ;010
Member_ID                    ;010
Personnel_ID                 ;010
Employee_ID                  ;010
Student_ID                   ;010
Patient_ID                   ;010
Guarantor_ID                 ;010
ID_Number                    ;010
Unique_ID                    ;010
Signature_ID                 ;010
Biometric_ID                 ;010
Membership_Number            ;010
Loyalty_Card_Number          ;010
Voucher_Code                 ;010
Face_Image                   ;010
Biometric_ID                 ;010
Biometric_ID                 ;010
Biometric_ID                 ;010
Biometric_ID                 ;010
customer_id                  ;010
cust                         ;010
SSN                          ;010
Employee_ID                  ;010
Contact_ID                   ;010
Unique_Identifier            ;010
Tax_ID                       ;010
User_ID                      ;010
Social Security Number       ;010
Company_ID                   ;001
Date                         ;001
Email                        ;001
First_Name                   ;001
Order_ID                     ;001
Payment_Method               ;001
City                         ;001
Product_ID                   ;001
Sales_Rep_ID                 ;001
Shipping_Address             ;001
State                        ;001
ZIP_Code                     ;001
Gender                       ;001
Job_Title                    ;001
Marital_Status               ;001
Yearly_Income                ;001
Password                     ;001
Security_Answer              ;001
Is_Active                    ;001
Is_Deleted                   ;001
Last_Login                   ;001
Login_Count                  ;001
Permission                   ;001
Role                         ;001
Permission_ID                ;001
Group                        ;001
Created_Date                 ;001
IP_Address                   ;001
Modified_Date                ;001
Time_Stamp                   ;001
Permission                   ;001
URL                          ;001
Country                      ;001
Region                       ;001
Site_ID                      ;001
Page_ID                      ;001
Record_ID                    ;001
Batch_ID                     ;001
Submitted_Date               ;001
Approval_Date                ;001
Rejection_Date               ;001
Attachment_File              ;001
Custom_Field_1               ;001
Progress                     ;001
Stage                        ;001
Task                         ;001
Estimated_Work               ;001
Percent_Complete             ;001
Estimated_Work               ;001
Actual_Work                  ;001
Estimated_Cost               ;001
Estimated_Cost               ;001
Actual_Cost                  ;001
Task_Assigned_Date           ;001
Task_Due_Date                ;001
Task_Completion_Date         ;001
Description                  ;001
History                      ;001
Dependencies                 ;001
Priority                     ;001

