time;flow
100;1,904
100,018;1,906
100,036;1,908
100,054;1,91
100,072;1,913
100,09;1,915
100,108;1,917
100,126;1,919
100,144;1,921
100,162;1,924
100,18;1,926
100,198;1,928
100,216;1,93
100,234;1,932
100,252;1,934
100,27;1,936
100,288;1,938
100,306;1,94
100,324;1,942
100,342;1,944
100,36;1,946
100,378;1,948
100,396;1,95
100,414;1,952
100,432;1,953
100,45;1,955
100,468;1,957
100,486;1,959
100,504;1,96
100,522;1,962
100,54;1,963
100,558;1,965
100,576;1,966
100,594;1,968
100,612;1,969
100,63;1,97
100,648;1,971
100,666;1,973
100,684;1,974
100,702;1,975
100,72;1,976
100,738;1,977
100,756;1,977
100,774;1,978
100,792;1,979
100,81;1,979
100,828;1,98
100,846;1,981
100,864;1,981
100,882;1,981
100,9;1,982
100,918;1,982
100,936;1,982
100,954;1,982
100,972;1,982
100,99;1,982
101,008;1,982
101,026;1,981
101,044;1,981
101,062;1,981
101,08;1,98
101,098;1,98
101,116;1,979
101,134;1,979
101,152;1,978
101,17;1,977
101,188;1,976
101,206;1,976
101,224;1,975
101,242;1,974
101,26;1,973
101,278;1,972
101,296;1,971
101,314;1,97
101,332;1,969
101,35;1,968
101,368;1,967
101,386;1,966
101,404;1,965
101,422;1,964
101,44;1,963
101,458;1,962
101,476;1,961
101,494;1,96
101,512;1,959
101,53;1,957
101,548;1,956
101,566;1,955
101,584;1,954
101,602;1,953
101,62;1,952
101,638;1,951
101,656;1,95
101,674;1,949
101,692;1,948
101,71;1,947
101,728;1,946
101,746;1,945
101,764;1,944
101,782;1,943
101,8;1,942
101,818;1,941
101,836;1,941
101,854;1,94
101,872;1,939
101,89;1,939
101,908;1,938
101,926;1,937
101,944;1,937
101,962;1,936
101,98;1,936
101,998;1,936
102,016;1,935
102,034;1,935
102,052;1,934
102,07;1,934
102,088;1,934
102,106;1,934
102,124;1,933
102,142;1,933
102,16;1,933
102,178;1,933
102,196;1,933
102,214;1,933
102,232;1,933
102,25;1,933
102,268;1,933
102,286;1,933
102,304;1,933
102,322;1,933
102,34;1,934
102,358;1,934
102,376;1,934
102,394;1,934
102,412;1,935
102,43;1,935
102,448;1,935
102,466;1,936
102,484;1,936
102,502;1,936
102,52;1,937
102,538;1,937
102,556;1,938
102,574;1,939
102,592;1,939
102,61;1,94
102,628;1,94
102,646;1,941
102,664;1,942
102,682;1,942
102,7;1,943
102,718;1,944
102,736;1,945
102,754;1,946
102,772;1,946
102,79;1,947
102,808;1,948
102,826;1,949
102,844;1,95
102,862;1,951
102,88;1,952
102,898;1,953
102,916;1,954
102,934;1,955
102,952;1,955
102,97;1,956
102,988;1,957
103,006;1,958
103,024;1,959
103,042;1,96
103,06;1,961
103,078;1,962
103,096;1,963
103,114;1,964
103,132;1,965
103,15;1,966
103,168;1,967
103,186;1,968
103,204;1,969
103,222;1,97
103,24;1,97
103,258;1,971
103,276;1,972
103,294;1,973
103,312;1,974
103,33;1,974
103,348;1,975
103,366;1,976
103,384;1,976
103,402;1,977
103,42;1,978
103,438;1,978
103,456;1,979
103,474;1,979
103,492;1,98
103,51;1,98
103,528;1,981
103,546;1,981
103,564;1,981
103,582;1,981
103,6;1,982
103,618;1,982
103,636;1,982
103,654;1,982
103,672;1,982
103,69;1,982
103,708;1,982
103,726;1,982
103,744;1,982
103,762;1,982
103,78;1,982
103,798;1,982
103,816;1,981
103,834;1,981
103,852;1,981
103,87;1,981
103,888;1,981
103,906;1,98
103,924;1,98
103,942;1,98
103,96;1,98
103,978;1,979
103,996;1,979
104,014;1,979
104,032;1,979
104,05;1,979
104,068;1,978
104,086;1,978
104,104;1,978
104,122;1,978
104,14;1,978
104,158;1,978
104,176;1,977
104,194;1,977
104,212;1,977
104,23;1,977
104,248;1,977
104,266;1,977
104,284;1,977
104,302;1,978
104,32;1,978
104,338;1,978
104,356;1,978
104,374;1,979
104,392;1,979
104,41;1,979
104,428;1,98
104,446;1,98
104,464;1,981
104,482;1,982
104,5;1,982
104,518;1,983
104,536;1,984
104,554;1,985
104,572;1,986
104,59;1,987
104,608;1,988
104,626;1,989
104,644;1,99
104,662;1,991
104,68;1,993
104,698;1,994
104,716;1,995
104,734;1,997
104,752;1,998
104,77;1,999
104,788;2,001
104,806;2,003
104,824;2,004
104,842;2,006
104,86;2,007
104,878;2,009
104,896;2,011
104,914;2,012
104,932;2,014
104,95;2,016
104,968;2,018
104,986;2,019
105,004;2,021
105,022;2,023
105,04;2,025
105,058;2,027
105,076;2,029
105,094;2,03
105,112;2,032
105,13;2,034
105,148;2,036
105,166;2,038
105,184;2,04
105,202;2,042
105,22;2,044
105,238;2,045
105,256;2,047
105,274;2,049
105,292;2,051
105,31;2,053
105,328;2,055
105,346;2,056
105,364;2,058
105,382;2,06
105,4;2,062
105,418;2,063
105,436;2,065
105,454;2,067
105,472;2,069
105,49;2,07
105,508;2,072
105,526;2,074
105,544;2,075
105,562;2,077
105,58;2,079
105,598;2,081
105,616;2,082
105,634;2,084
105,652;2,086
105,67;2,088
105,688;2,089
105,706;2,091
105,724;2,093
105,742;2,095
105,76;2,097
105,778;2,099
105,796;2,101
105,814;2,103
105,832;2,105
105,85;2,107
105,868;2,109
105,886;2,111
105,904;2,114
105,922;2,116
105,94;2,118
105,958;2,121
105,976;2,123
105,994;2,126
106,012;2,129
106,03;2,131
106,048;2,134
106,066;2,137
106,084;2,14
106,102;2,143
106,12;2,146
106,138;2,149
106,156;2,153
106,174;2,156
106,192;2,16
106,21;2,163
106,228;2,167
106,246;2,171
106,264;2,174
106,282;2,178
106,3;2,183
106,318;2,187
106,336;2,191
106,354;2,195
106,372;2,2
106,39;2,204
106,408;2,209
106,426;2,214
106,444;2,218
106,462;2,223
106,48;2,228
106,498;2,233
106,516;2,238
106,534;2,243
106,552;2,248
106,57;2,253
106,588;2,258
106,606;2,263
106,624;2,269
106,642;2,274
106,66;2,279
106,678;2,284
106,696;2,289
106,714;2,294
106,732;2,3
106,75;2,305
106,768;2,31
106,786;2,315
106,804;2,32
106,822;2,325
106,84;2,33
106,858;2,335
106,876;2,34
106,894;2,345
106,912;2,35
106,93;2,355
106,948;2,359
106,966;2,364
106,984;2,368
107,002;2,373
107,02;2,377
107,038;2,382
107,056;2,386
107,074;2,39
107,092;2,394
107,11;2,398
107,128;2,401
107,146;2,405
107,164;2,409
107,182;2,412
107,2;2,415
107,218;2,418
107,236;2,421
107,254;2,424
107,272;2,427
107,29;2,43
107,308;2,432
107,326;2,435
107,344;2,437
107,362;2,439
107,38;2,442
107,398;2,444
107,416;2,446
107,434;2,448
107,452;2,449
107,47;2,451
107,488;2,453
107,506;2,454
107,524;2,456
107,542;2,458
107,56;2,459
107,578;2,46
107,596;2,462
107,614;2,463
107,632;2,464
107,65;2,465
107,668;2,466
107,686;2,467
107,704;2,468
107,722;2,469
107,74;2,47
107,758;2,471
107,776;2,472
107,794;2,473
107,812;2,474
107,83;2,475
107,848;2,476
107,866;2,477
107,884;2,478
107,902;2,478
107,92;2,479
107,938;2,48
107,956;2,481
107,974;2,482
107,992;2,483
108,01;2,484
108,028;2,485
108,046;2,486
108,064;2,487
108,082;2,488
108,1;2,489
108,118;2,49
108,136;2,491
108,154;2,492
108,172;2,493
108,19;2,495
108,208;2,496
108,226;2,497
108,244;2,498
108,262;2,5
108,28;2,501
108,298;2,502
108,316;2,504
108,334;2,505
108,352;2,507
108,37;2,508
108,388;2,51
108,406;2,511
108,424;2,513
108,442;2,514
108,46;2,516
108,478;2,517
108,496;2,519
108,514;2,52
108,532;2,522
108,55;2,524
108,568;2,525
108,586;2,527
108,604;2,529
108,622;2,53
