time;flow
100,018;7,25
100,036;7,249
100,054;7,248
100,072;7,247
100,09;7,246
100,108;7,245
100,126;7,245
100,144;7,244
100,162;7,243
100,18;7,242
100,198;7,241
100,216;7,24
100,234;7,239
100,252;7,238
100,27;7,237
100,288;7,236
100,306;7,236
100,324;7,235
100,342;7,234
100,36;7,233
100,378;7,232
100,396;7,231
100,414;7,23
100,432;7,229
100,45;7,229
100,468;7,228
100,486;7,227
100,504;7,226
100,522;7,225
100,54;7,224
100,558;7,223
100,576;7,223
100,594;7,222
100,612;7,221
100,63;7,22
100,648;7,219
100,666;7,219
100,684;7,218
100,702;7,217
100,72;7,216
100,738;7,216
100,756;7,215
100,774;7,214
100,792;7,213
100,81;7,213
100,828;7,212
100,846;7,211
100,864;7,211
100,882;7,21
100,9;7,209
100,918;7,209
100,936;7,208
100,954;7,207
100,972;7,207
100,99;7,206
101,008;7,205
101,026;7,205
101,044;7,204
101,062;7,204
101,08;7,203
101,098;7,203
101,116;7,202
101,134;7,202
101,152;7,201
101,17;7,201
101,188;7,2
101,206;7,2
101,224;7,199
101,242;7,199
101,26;7,198
101,278;7,198
101,296;7,197
101,314;7,197
101,332;7,197
101,35;7,196
101,368;7,196
101,386;7,195
101,404;7,195
101,422;7,194
101,44;7,194
101,458;7,194
101,476;7,193
101,494;7,193
101,512;7,192
101,53;7,192
101,548;7,191
101,566;7,191
101,584;7,19
101,602;7,19
101,62;7,189
101,638;7,189
101,656;7,188
101,674;7,188
101,692;7,187
101,71;7,186
101,728;7,186
101,746;7,185
101,764;7,184
101,782;7,184
101,8;7,183
101,818;7,182
101,836;7,181
101,854;7,181
101,872;7,18
101,89;7,179
101,908;7,178
101,926;7,177
101,944;7,176
101,962;7,175
101,98;7,174
101,998;7,173
102,016;7,172
102,034;7,171
102,052;7,17
102,07;7,168
102,088;7,167
102,106;7,166
102,124;7,164
102,142;7,163
102,16;7,162
102,178;7,16
102,196;7,159
102,214;7,157
102,232;7,155
102,25;7,154
102,268;7,152
102,286;7,15
102,304;7,148
102,322;7,146
102,34;7,145
102,358;7,143
102,376;7,141
102,394;7,139
102,412;7,137
102,43;7,135
102,448;7,132
102,466;7,13
102,484;7,128
102,502;7,126
102,52;7,124
102,538;7,122
102,556;7,12
102,574;7,118
102,592;7,116
102,61;7,114
102,628;7,112
102,646;7,11
102,664;7,108
102,682;7,106
102,7;7,104
102,718;7,102
102,736;7,1
102,754;7,099
102,772;7,097
102,79;7,095
102,808;7,094
102,826;7,092
