time;flow
4601,217;0,099
4601,224;0,099
4601,232;0,099
4601,24;0,099
4601,248;0,099
4601,256;0,099
4601,264;0,099
4601,272;0,099
4601,28;0,099
4601,288;0,099
4601,296;0,099
4601,303;0,099
4601,311;0,099
4601,319;0,099
4601,327;0,099
4601,335;0,099
4601,343;0,099
4601,351;0,099
4601,359;0,099
4601,367;0,099
4601,375;0,099
4601,382;0,099
4601,39;0,099
4601,398;0,099
4601,406;0,099
4601,414;0,099
4601,422;0,099
4601,43;0,099
4601,438;0,099
4601,446;0,099
4601,454;0,099
4601,461;0,099
4601,469;0,099
4601,477;0,099
4601,485;0,099
4601,493;0,099
4601,501;0,099
4601,509;0,099
4601,517;0,099
4601,525;0,099
4601,533;0,099
4601,54;0,099
4601,548;0,099
4601,556;0,099
4601,564;0,099
4601,572;0,099
4601,58;0,099
4601,588;0,099
4601,596;0,099
4601,604;0,099
4601,612;0,099
4601,619;0,099
4601,627;0,099
4601,635;0,099
4601,643;0,099
4601,651;0,099
4601,659;0,099
4601,667;0,099
4601,675;0,099
4601,683;0,099
4601,691;0,099
4601,698;0,099
4601,706;0,099
4601,714;0,099
4601,722;0,099
4601,73;0,099
4601,738;0,099
4601,746;0,099
4601,754;0,099
4601,762;0,099
4601,77;0,098
4601,777;0,098
4601,785;0,098
4601,793;0,098
4601,801;0,098
4601,809;0,098
4601,817;0,098
4601,825;0,098
4601,833;0,098
4601,841;0,098
4601,849;0,098
4601,856;0,098
4601,864;0,098
4601,872;0,098
4601,88;0,098
4601,888;0,098
4601,896;0,098
4601,904;0,098
4601,912;0,098
4601,92;0,098
4601,928;0,098
4601,935;0,098
4601,943;0,098
4601,951;0,098
4601,959;0,098
4601,967;0,098
4601,975;0,098
4601,983;0,098
4601,991;0,098
4601,999;0,098
4602,007;0,098
4602,014;0,098
4602,022;0,098
4602,03;0,098
4602,038;0,098
4602,046;0,098
4602,054;0,098
4602,062;0,098
4602,07;0,098
4602,078;0,098
4602,086;0,098
4602,093;0,098
4602,101;0,098
4602,109;0,098
4602,117;0,098
4602,125;0,098
4602,133;0,098
4602,141;0,098
4602,149;0,098
4602,157;0,098
4602,165;0,098
4602,172;0,098
4602,18;0,098
4602,188;0,098
4602,196;0,098
4602,204;0,098
4602,212;0,098
4602,22;0,098
4602,228;0,098
4602,236;0,098
4602,244;0,098
4602,251;0,098
4602,259;0,098
4602,267;0,097
4602,275;0,097
4602,283;0,097
4602,291;0,097
4602,299;0,097
4602,307;0,097
4602,315;0,097
4602,323;0,097
4602,33;0,097
4602,338;0,097
4602,346;0,097
4602,354;0,097
4602,362;0,097
4602,37;0,097
4602,378;0,097
4602,386;0,097
4602,394;0,097
4602,402;0,097
4602,409;0,097
4602,417;0,097
4602,425;0,097
4602,433;0,097
4602,441;0,097
4602,449;0,097
4602,457;0,097
4602,465;0,097
4602,473;0,097
4602,481;0,097
4602,488;0,097
4602,496;0,097
4602,504;0,097
4602,512;0,097
4602,52;0,097
4602,528;0,097
4602,536;0,097
4602,544;0,097
4602,552;0,096
4602,56;0,096
4602,567;0,096
4602,575;0,096
4602,583;0,096
4602,591;0,096
4602,599;0,096
4602,607;0,096
4602,615;0,096
4602,623;0,096
4602,631;0,096
4602,639;0,096
4602,646;0,096
4602,654;0,096
4602,662;0,096
4602,67;0,096
4602,678;0,096
4602,686;0,096
4602,694;0,096
4602,702;0,096
4602,71;0,096
4602,718;0,096
4602,725;0,096
4602,733;0,096
4602,741;0,096
4602,749;0,096
4602,757;0,096
4602,765;0,096
4602,773;0,096
4602,781;0,096
4602,789;0,096
4602,797;0,096
4602,804;0,096
4602,812;0,096
4602,82;0,096
4602,828;0,096
4602,836;0,095
4602,844;0,095
4602,852;0,095
4602,86;0,095
4602,868;0,095
4602,876;0,095
4602,883;0,095
4602,891;0,095
4602,899;0,095
4602,907;0,095
4602,915;0,095
4602,923;0,095
4602,931;0,095
4602,939;0,095
4602,947;0,095
4602,955;0,095
4602,962;0,095
4602,97;0,095
4602,978;0,095
4602,986;0,095
4602,994;0,095
4603,002;0,095
4603,01;0,095
4603,018;0,095
4603,026;0,095
4603,034;0,095
4603,041;0,095
4603,049;0,095
4603,057;0,095
4603,065;0,095
4603,073;0,095
4603,081;0,094
4603,089;0,094
4603,097;0,094
4603,105;0,094
4603,113;0,094
4603,12;0,094
4603,128;0,094
4603,136;0,094
4603,144;0,094
4603,152;0,094
4603,16;0,094
4603,168;0,094
4603,176;0,094
4603,184;0,094
4603,192;0,094
4603,199;0,094
4603,207;0,094
4603,215;0,094
4603,223;0,094
4603,231;0,094
4603,239;0,094
4603,247;0,094
4603,255;0,094
4603,263;0,093
4603,271;0,093
4603,278;0,093
4603,286;0,093
4603,294;0,093
4603,302;0,093
4603,31;0,093
4603,318;0,093
4603,326;0,093
4603,334;0,093
4603,342;0,093
4603,35;0,093
4603,357;0,093
4603,365;0,093
4603,373;0,093
4603,381;0,093
4603,389;0,093
4603,397;0,093
4603,405;0,093
4603,413;0,093
4603,421;0,093
4603,429;0,093
4603,436;0,093
4603,444;0,093
4603,452;0,093
4603,46;0,093
4603,468;0,093
4603,476;0,092
4603,484;0,092
4603,492;0,092
4603,5;0,092
4603,508;0,092
4603,515;0,092
4603,523;0,092
4603,531;0,092
4603,539;0,092
4603,547;0,092
4603,555;0,092
4603,563;0,092
4603,571;0,092
4603,579;0,092
4603,587;0,092
4603,594;0,092
4603,602;0,092
4603,61;0,092
4603,618;0,092
4603,626;0,092
4603,634;0,092
4603,642;0,092
4603,65;0,092
4603,658;0,092
