time;flow
73648,06;34,397
73648,12;34,407
73648,18;34,416
73648,24;34,425
73648,3;34,435
73648,36;34,444
73648,42;34,454
73648,48;34,464
73648,54;34,474
73648,6;34,484
73648,66;34,495
73648,72;34,505
73648,78;34,516
73648,84;34,528
73648,9;34,539
73648,96;34,551
73649,02;34,563
73649,08;34,576
73649,14;34,589
73649,2;34,602
73649,26;34,616
73649,32;34,63
73649,38;34,645
73649,44;34,66
73649,5;34,676
73649,56;34,692
73649,62;34,709
73649,68;34,727
73649,74;34,745
73649,8;34,764
73649,86;34,783
73649,92;34,803
73649,98;34,824
73650,04;34,846
73650,1;34,868
73650,16;34,891
73650,22;34,915
73650,28;34,939
73650,34;34,965
73650,4;34,991
73650,46;35,018
73650,52;35,046
73650,58;35,075
73650,64;35,105
73650,7;35,135
73650,76;35,167
73650,82;35,199
73650,88;35,232
73650,94;35,266
73651;35,3
73651,06;35,335
73651,12;35,371
73651,18;35,408
73651,24;35,445
73651,3;35,482
73651,36;35,52
73651,42;35,559
73651,48;35,598
73651,54;35,638
73651,6;35,678
73651,66;35,718
73651,72;35,759
73651,78;35,801
73651,84;35,842
73651,9;35,884
73651,96;35,926
73652,02;35,969
73652,08;36,011
73652,14;36,054
73652,2;36,097
73652,26;36,14
73652,32;36,184
73652,38;36,227
73652,44;36,271
73652,5;36,314
73652,56;36,358
73652,62;36,401
73652,68;36,445
73652,74;36,489
73652,8;36,532
73652,86;36,575
73652,92;36,618
73652,98;36,661
73653,04;36,704
73653,1;36,747
73653,16;36,789
73653,22;36,831
73653,28;36,873
73653,34;36,915
73653,4;36,956
73653,46;36,997
73653,52;37,037
73653,58;37,077
73653,64;37,117
73653,7;37,156
73653,76;37,195
73653,82;37,233
73653,88;37,271
73653,94;37,308
73654;37,345
73654,06;37,381
73654,12;37,417
73654,18;37,451
73654,24;37,486
73654,3;37,519
73654,36;37,552
73654,42;37,584
73654,48;37,616
73654,54;37,647
73654,6;37,677
73654,66;37,706
73654,72;37,734
73654,78;37,761
73654,84;37,788
73654,9;37,814
73654,96;37,838
73655,02;37,862
73655,08;37,885
73655,14;37,907
73655,2;37,928
73655,26;37,948
73655,32;37,966
73655,38;37,984
73655,44;38,001
73655,5;38,016
73655,56;38,031
73655,62;38,044
73655,68;38,056
73655,74;38,067
73655,8;38,078
73655,86;38,087
73655,92;38,095
73655,98;38,102
73656,04;38,109
73656,1;38,115
73656,16;38,119
73656,22;38,123
73656,28;38,126
73656,34;38,129
73656,4;38,13
73656,46;38,131
73656,52;38,132
73656,58;38,131
73656,64;38,13
73656,7;38,129
73656,76;38,127
73656,82;38,124
73656,88;38,121
73656,94;38,117
73657;38,113
73657,06;38,108
73657,12;38,103
73657,18;38,098
73657,24;38,092
73657,3;38,086
73657,36;38,08
73657,42;38,074
73657,48;38,067
73657,54;38,06
73657,6;38,053
73657,66;38,046
73657,72;38,038
73657,78;38,031
73657,84;38,023
73657,9;38,015
73657,96;38,008
73658,02;38
73658,08;37,993
73658,14;37,985
73658,2;37,978
73658,26;37,97
73658,32;37,963
73658,38;37,955
73658,44;37,948
73658,5;37,94
73658,56;37,933
73658,62;37,925
73658,68;37,918
73658,74;37,911
73658,8;37,904
73658,86;37,896
73658,92;37,889
73658,98;37,882
73659,04;37,875
73659,1;37,868
73659,16;37,861
73659,22;37,854
73659,28;37,847
73659,34;37,84
73659,4;37,833
73659,46;37,827
73659,52;37,82
73659,58;37,813
73659,64;37,807
73659,7;37,8
73659,76;37,794
73659,82;37,788
73659,88;37,781
73659,94;37,775
73660;37,769
73660,06;37,763
73660,12;37,757
73660,18;37,751
73660,24;37,745
73660,3;37,739
73660,36;37,734
73660,42;37,728
73660,48;37,723
73660,54;37,717
73660,6;37,712
73660,66;37,706
73660,72;37,701
73660,78;37,696
73660,84;37,69
73660,9;37,685
73660,96;37,679
73661,02;37,674
