time;flow
0,0087;107,8745
0,0088;107,4988
0,009;107,1233
0,0091;106,7481
0,0092;106,3735
0,0094;105,9996
0,0095;105,6264
0,0097;105,2542
0,0098;104,883
0,0099;104,513
0,0101;104,1444
0,0102;103,7771
0,0104;103,4115
0,0105;103,0476
0,0106;102,6856
0,0108;102,3255
0,0109;101,9676
0,0111;101,6119
0,0112;101,2587
0,0113;100,9079
0,0115;100,5598
0,0116;100,2146
0,0118;99,8722
0,0119;99,5329
0,012;99,1968
0,0122;98,8641
0,0123;98,5348
0,0125;98,2091
0,0126;97,8871
0,0127;97,569
0,0129;97,2549
0,013;96,945
0,0132;96,6393
0,0133;96,338
0,0134;96,0413
0,0136;95,7492
0,0137;95,462
0,0139;95,1796
0,014;94,9024
0,0141;94,6303
0,0143;94,3636
0,0144;94,1024
0,0146;93,8468
0,0147;93,5969
0,0148;93,3529
0,015;93,115
0,0151;92,8831
0,0153;92,6576
0,0154;92,4384
0,0155;92,2258
0,0157;92,0199
0,0158;91,8208
0,016;91,6287
0,0161;91,4436
0,0162;91,2657
0,0164;91,0953
0,0165;90,9322
0,0167;90,7768
0,0168;90,6292
0,0169;90,4895
0,0171;90,3577
0,0172;90,2341
0,0174;90,1187
0,0175;90,0114
0,0176;89,9123
0,0178;89,8212
0,0179;89,7382
0,0181;89,6632
0,0182;89,5962
0,0183;89,5372
0,0185;89,4862
0,0186;89,4431
0,0188;89,4079
0,0189;89,3805
0,019;89,361
0,0192;89,3493
0,0193;89,3454
0,0195;89,3492
0,0196;89,3608
0,0197;89,3801
0,0199;89,407
0,02;89,4417
0,0202;89,4839
0,0203;89,5337
0,0204;89,5911
0,0206;89,6561
0,0207;89,7285
0,0209;89,8085
0,021;89,8959
0,0211;89,9907
0,0213;90,093
0,0214;90,2026
0,0216;90,3196
0,0217;90,4438
0,0218;90,5754
0,022;90,7143
0,0221;90,8604
0,0223;91,0137
0,0224;91,1742
0,0225;91,3418
0,0227;91,5166
0,0228;91,6985
0,023;91,8875
0,0231;92,0835
0,0232;92,2866
0,0234;92,4966
0,0235;92,7136
0,0237;92,9375
0,0238;93,1684
0,0239;93,4061
0,0241;93,6507
0,0242;93,9022
0,0244;94,1604
0,0245;94,4254
0,0246;94,6972
0,0248;94,9757
0,0249;95,2609
0,0251;95,5527
0,0252;95,8512
0,0253;96,1563
0,0255;96,468
0,0256;96,7863
0,0258;97,111
0,0259;97,4423
0,026;97,7801
0,0262;98,1243
0,0263;98,4749
0,0265;98,832
0,0266;99,1954
0,0267;99,5652
0,0269;99,9414
0,027;100,3238
0,0272;100,7125
0,0273;101,1075
0,0274;101,5087
0,0276;101,9161
0,0277;102,3297
0,0279;102,7495
0,028;103,1754
0,0281;103,6074
0,0283;104,0455
0,0284;104,4896
0,0286;104,9398
0,0287;105,396
0,0288;105,8582
0,029;106,3263
0,0291;106,8004
0,0293;107,2804
0,0294;107,7662
0,0295;108,258
0,0297;108,7555
0,0298;109,2589
0,03;109,7681
0,0301;110,283
0,0302;110,8037
0,0304;111,3301
0,0305;111,8622
0,0307;112,3999
0,0308;112,9433
0,0309;113,4923
0,0311;114,0469
0,0312;114,607
0,0314;115,1727
0,0315;115,7439
0,0316;116,3206
0,0318;116,9028
0,0319;117,4904
0,0321;118,0834
0,0322;118,6818
0,0323;119,2856
0,0325;119,8947
0,0326;120,5092
0,0328;121,1289
0,0329;121,7539
0,033;122,3842
0,0332;123,0196
0,0333;123,6603
0,0335;124,3061
0,0336;124,9571
0,0337;125,6132
0,0339;126,2744
0,034;126,9406
0,0342;127,6119
0,0343;128,2882
0,0344;128,9693
0,0346;129,6547
0,0347;130,344
0,0349;131,0366
0,035;131,7322
0,0351;132,4302
0,0353;133,1301
0,0354;133,8316
0,0356;134,5342
