time;flow
43271,080;75,639
43271,290;75,627
43271,500;75,615
43271,710;75,602
43271,920;75,590
43272,130;75,578
43272,340;75,566
43272,550;75,553
43272,760;75,541
43272,970;75,529
43273,180;75,517
43273,390;75,504
43273,600;75,492
43273,810;75,480
43274,020;75,468
43274,230;75,456
43274,440;75,444
43274,650;75,432
43274,860;75,420
43275,070;75,408
43275,280;75,396
43275,490;75,384
43275,700;75,372
43275,910;75,360
43276,120;75,348
43276,330;75,337
43276,540;75,325
43276,750;75,313
43276,960;75,302
43277,170;75,290
43277,380;75,279
43277,590;75,267
43277,800;75,256
43278,010;75,244
43278,220;75,233
43278,430;75,222
43278,640;75,211
43278,850;75,200
43279,060;75,189
43279,270;75,178
43279,480;75,167
43279,690;75,156
43279,900;75,145
43280,110;75,135
43280,320;75,124
43280,530;75,113
43280,740;75,103
43280,950;75,093
43281,160;75,082
43281,370;75,072
43281,580;75,062
43281,790;75,052
43282,000;75,042
43282,210;75,032
43282,420;75,022
43282,630;75,012
43282,840;75,002
43283,050;74,992
43283,260;74,983
43283,470;74,973
43283,680;74,963
43283,890;74,954
43284,100;74,944
43284,310;74,934
43284,520;74,925
43284,730;74,915
43284,940;74,906
43285,150;74,896
43285,360;74,886
43285,570;74,877
43285,780;74,867
43285,990;74,857
43286,200;74,848
43286,410;74,838
43286,620;74,828
43286,830;74,818
43287,040;74,809
43287,250;74,799
43287,460;74,789
43287,670;74,779
43287,880;74,769
43288,090;74,759
43288,300;74,748
43288,510;74,738
43288,720;74,728
43288,930;74,717
43289,140;74,707
43289,350;74,696
43289,560;74,685
43289,770;74,675
43289,980;74,664
43290,190;74,653
43290,400;74,641
43290,610;74,630
43290,820;74,619
43291,030;74,607
43291,240;74,596
43291,450;74,584
43291,660;74,572
43291,870;74,560
43292,080;74,548
43292,290;74,536
43292,500;74,523
43292,710;74,511
43292,920;74,498
43293,130;74,486
43293,340;74,473
43293,550;74,461
43293,760;74,448
43293,970;74,435
43294,180;74,422
43294,390;74,409
43294,600;74,396
43294,810;74,383
43295,020;74,370
43295,230;74,357
43295,440;74,344
43295,650;74,331
43295,860;74,317
43296,070;74,304
43296,280;74,291
43296,490;74,278
43296,700;74,265
43296,910;74,251
43297,120;74,238
43297,330;74,225
43297,540;74,212
43297,750;74,199
43297,960;74,186
43298,170;74,173
43298,380;74,160
43298,590;74,147
43298,800;74,134
43299,010;74,121
43299,220;74,108
43299,430;74,095
43299,640;74,083
43299,850;74,070
43300,060;74,057
43300,270;74,045
43300,480;74,033
43300,690;74,020
43300,900;74,008
43301,110;73,996
43301,320;73,984
43301,530;73,972
43301,740;73,961
43301,950;73,949
43302,160;73,938
43302,370;73,926
43302,580;73,915
43302,790;73,904
43303,000;73,893
43303,210;73,882
43303,420;73,871
43303,630;73,860
43303,840;73,850
43304,050;73,840
43304,260;73,829
43304,470;73,819
43304,680;73,810
43304,890;73,800
43305,100;73,790
43305,310;73,781
43305,520;73,772
43305,730;73,762
43305,940;73,754
43306,150;73,745
43306,360;73,736
43306,570;73,728
43306,780;73,720
43306,990;73,712
43307,200;73,704
43307,410;73,696
43307,620;73,689
43307,830;73,681
43308,040;73,674
43308,250;73,667
43308,460;73,661
43308,670;73,654
43308,880;73,648
43309,090;73,642
43309,300;73,636
43309,510;73,631
43309,720;73,625
43309,930;73,620
43310,140;73,615
43310,350;73,610
43310,560;73,606
43310,770;73,602
43310,980;73,598
43311,190;73,594
43311,400;73,590
43311,610;73,587
43311,820;73,584
43312,030;73,581
43312,240;73,578
43312,450;73,575
43312,660;73,573
43312,870;73,570
43313,080;73,568
43313,290;73,566
43313,500;73,564
43313,710;73,562
43313,920;73,560
43314,130;73,558
43314,340;73,556
43314,550;73,554
43314,760;73,552
43314,970;73,550
43315,180;73,548
43315,390;73,547
43315,600;73,545
43315,810;73,543
43316,020;73,541
43316,230;73,539
43316,440;73,537
43316,650;73,534
43316,860;73,532
43317,070;73,529
43317,280;73,527
43317,490;73,524
43317,700;73,521
43317,910;73,518
43318,120;73,515
43318,330;73,511
43318,540;73,508
43318,750;73,504
43318,960;73,500
43319,170;73,496
43319,380;73,491
43319,590;73,486
43319,800;73,481
43320,010;73,476
43320,220;73,470
43320,430;73,464
43320,640;73,457
43320,850;73,451
43321,060;73,444
43321,270;73,436
43321,480;73,429
43321,690;73,421
43321,900;73,412
43322,110;73,404
43322,320;73,395
43322,530;73,386
43322,740;73,377
43322,950;73,367
43323,160;73,357
43323,370;73,347
43323,580;73,337
43323,790;73,326
43324,000;73,315
43324,210;73,304
43324,420;73,293
43324,630;73,282
43324,840;73,270
43325,050;73,259
43325,260;73,247
43325,470;73,235
43325,680;73,223
43325,890;73,211
43326,100;73,198
43326,310;73,186
43326,520;73,173
43326,730;73,161
43326,940;73,148
43327,150;73,135
43327,360;73,122
43327,570;73,109
43327,780;73,096
43327,990;73,083
43328,200;73,070
43328,410;73,057
43328,620;73,044
43328,830;73,031
43329,040;73,018
43329,250;73,005
43329,460;72,992
43329,670;72,979
43329,880;72,966
43330,090;72,953
43330,300;72,940
43330,510;72,927
43330,720;72,915
43330,930;72,902
43331,140;72,889
43331,350;72,877
43331,560;72,865
43331,770;72,852
43331,980;72,840
43332,190;72,828
43332,400;72,816
43332,610;72,804
43332,820;72,792
43333,030;72,780
43333,240;72,769
43333,450;72,757
43333,660;72,746
43333,870;72,734
43334,080;72,723
43334,290;72,712
43334,500;72,701
43334,710;72,690
43334,920;72,679
43335,130;72,669
43335,340;72,658
43335,550;72,648
43335,760;72,637
43335,970;72,627
43336,180;72,617
43336,390;72,607
43336,600;72,597
43336,810;72,587
43337,020;72,577
43337,230;72,568
43337,440;72,558
43337,650;72,549
43337,860;72,540
43338,070;72,531
43338,280;72,522
43338,490;72,513
43338,700;72,505
43338,910;72,496
43339,120;72,488
43339,330;72,480
43339,540;72,471
43339,750;72,463
43339,960;72,456
43340,170;72,448
43340,380;72,441
43340,590;72,433
43340,800;72,426
43341,010;72,419
43341,220;72,412
43341,430;72,405
43341,640;72,398
43341,850;72,392
43342,060;72,385
43342,270;72,379
43342,480;72,373
43342,690;72,367
43342,900;72,361
43343,110;72,355
43343,320;72,349
43343,530;72,344
43343,740;72,338
43343,950;72,333
43344,160;72,327
43344,370;72,322
43344,580;72,317
43344,790;72,312
43345,000;72,307
43345,210;72,302
43345,420;72,297
43345,630;72,292
43345,840;72,287
43346,050;72,283
43346,260;72,278
43346,470;72,273
43346,680;72,269
43346,890;72,264
43347,100;72,260
43347,310;72,256
43347,520;72,251
43347,730;72,247
43347,940;72,242
43348,150;72,238
43348,360;72,234
43348,570;72,230
43348,780;72,225
43348,990;72,221
43349,200;72,217
43349,410;72,213
43349,620;72,209
43349,830;72,204
43350,040;72,200
43350,250;72,196
43350,460;72,192
43350,670;72,187
43350,880;72,183
43351,090;72,179
43351,300;72,175
43351,510;72,170
43351,720;72,166
43351,930;72,162
43352,140;72,157
43352,350;72,153
43352,560;72,148
43352,770;72,144
43352,980;72,140
43353,190;72,135
43353,400;72,131
43353,610;72,127
43353,820;72,122
43354,030;72,118
43354,240;72,114
43354,450;72,109
43354,660;72,105
43354,870;72,101
43355,080;72,096
43355,290;72,092
43355,500;72,088
43355,710;72,084
43355,920;72,079
43356,130;72,075
43356,340;72,071
43356,550;72,067
43356,760;72,063
43356,970;72,059
43357,180;72,055
43357,390;72,051
43357,600;72,047
43357,810;72,043
43358,020;72,039
43358,230;72,035
43358,440;72,031
43358,650;72,027
43358,860;72,023
43359,070;72,019
43359,280;72,016
43359,490;72,012
43359,700;72,009
43359,910;72,005
43360,120;72,001
43360,330;71,998
43360,540;71,995
43360,750;71,991
43360,960;71,988
43361,170;71,985
43361,380;71,981
43361,590;71,978
43361,800;71,975
43362,010;71,972
43362,220;71,969
43362,430;71,966
43362,640;71,963
43362,850;71,961
43363,060;71,958
43363,270;71,955
43363,480;71,953
43363,690;71,950
43363,900;71,947
43364,110;71,945
43364,320;71,943
43364,530;71,940
43364,740;71,938
43364,950;71,936
43365,160;71,934
43365,370;71,931
43365,580;71,929
43365,790;71,927
43366,000;71,925
43366,210;71,923
43366,420;71,922
43366,630;71,920
43366,840;71,918
43367,050;71,917
43367,260;71,915
43367,470;71,913
43367,680;71,912
43367,890;71,911
43368,100;71,909
43368,310;71,908
43368,520;71,907
43368,730;71,906
43368,940;71,904
43369,150;71,903
43369,360;71,902
43369,570;71,902
43369,780;71,901
43369,990;71,900
43370,200;71,899
43370,410;71,899
43370,620;71,898
43370,830;71,897
43371,040;71,897
43371,250;71,897
43371,460;71,896
43371,670;71,896
43371,880;71,896
43372,090;71,896
43372,300;71,896
43372,510;71,896
43372,720;71,896
43372,930;71,897
43373,140;71,897
43373,350;71,898
43373,560;71,898
43373,770;71,899
43373,980;71,900
43374,190;71,901
43374,400;71,902
43374,610;71,903
43374,820;71,905
43375,030;71,906
43375,240;71,908
43375,450;71,909
43375,660;71,911
43375,870;71,913
43376,080;71,915
43376,290;71,918
43376,500;71,920
43376,710;71,923
43376,920;71,926
43377,130;71,929
43377,340;71,932
43377,550;71,935
43377,760;71,938
43377,970;71,942
43378,180;71,946
43378,390;71,950
43378,600;71,954
43378,810;71,958
43379,020;71,963
43379,230;71,968
43379,440;71,973
43379,650;71,978
43379,860;71,983
43380,070;71,989
43380,280;71,994
43380,490;72,000
43380,700;72,006
43380,910;72,013
43381,120;72,019
43381,330;72,026
43381,540;72,033
43381,750;72,040
43381,960;72,047
43382,170;72,055
43382,380;72,063
43382,590;72,070
43382,800;72,078
43383,010;72,087
43383,220;72,095
43383,430;72,103
43383,640;72,112
43383,850;72,121
43384,060;72,130
43384,270;72,139
43384,480;72,148
43384,690;72,157
43384,900;72,166
43385,110;72,176
43385,320;72,186
43385,530;72,195
43385,740;72,205
43385,950;72,215
43386,160;72,225
43386,370;72,235
43386,580;72,245
43386,790;72,256
43387,000;72,266
43387,210;72,276
43387,420;72,287
43387,630;72,297
43387,840;72,308
43388,050;72,319
43388,260;72,329
43388,470;72,340
43388,680;72,351
43388,890;72,362
43389,100;72,372
43389,310;72,383
43389,520;72,394
43389,730;72,405
43389,940;72,416
43390,150;72,427
43390,360;72,438
43390,570;72,449
43390,780;72,460
43390,990;72,471
43391,200;72,482
43391,410;72,493
43391,620;72,503
43391,830;72,514
43392,040;72,525
43392,250;72,536
43392,460;72,547
43392,670;72,557
43392,880;72,568
43393,090;72,578
43393,300;72,589
43393,510;72,599
43393,720;72,610
43393,930;72,620
43394,140;72,630
43394,350;72,640
43394,560;72,650
43394,770;72,660
43394,980;72,670
43395,190;72,680
43395,400;72,690
43395,610;72,699
43395,820;72,709
43396,030;72,718
43396,240;72,727
43396,450;72,736
43396,660;72,745
43396,870;72,754
43397,080;72,763
43397,290;72,771
43397,500;72,779
43397,710;72,788
43397,920;72,796
43398,130;72,804
43398,340;72,811
43398,550;72,819
43398,760;72,826
43398,970;72,833
43399,180;72,840
43399,390;72,847
43399,600;72,854
43399,810;72,860
43400,020;72,866
43400,230;72,872
43400,440;72,878
43400,650;72,884
43400,860;72,889
43401,070;72,894
43401,280;72,899
43401,490;72,904
43401,700;72,909
43401,910;72,914
43402,120;72,919
43402,330;72,924
43402,540;72,928
43402,750;72,933
43402,960;72,938
43403,170;72,943
43403,380;72,948
43403,590;72,953
43403,800;72,958
43404,010;72,964
43404,220;72,969
43404,430;72,975
43404,640;72,981
43404,850;72,987
43405,060;72,994
43405,270;73,000
43405,480;73,007
43405,690;73,015
43405,900;73,022
43406,110;73,030
43406,320;73,039
43406,530;73,048
43406,740;73,057
43406,950;73,067
43407,160;73,077
43407,370;73,087
43407,580;73,099
43407,790;73,110
43408,000;73,122
43408,210;73,135
43408,420;73,149
43408,630;73,163
43408,840;73,177
43409,050;73,193
43409,260;73,209
43409,470;73,226
43409,680;73,243
43409,890;73,261
43410,100;73,280
43410,310;73,300
43410,520;73,321
43410,730;73,342
43410,940;73,364
43411,150;73,387
43411,360;73,410
43411,570;73,434
43411,780;73,459
