time;flow
7590,75;9,90535
7592,2;10,00356
7593,65;10,1017
7595,1;10,19969
7596,55;10,29751
7598;10,39509
7599,45;10,49238
7600,9;10,58934
7602,35;10,68591
7603,8;10,78205
7605,25;10,87771
7606,7;10,97283
7608,15;11,06737
7609,6;11,16128
7611,05;11,2545
7612,5;11,34699
7613,95;11,4387
7615,4;11,52958
7616,85;11,61957
7618,3;11,70863
7619,75;11,79671
7621,2;11,88375
7622,65;11,96971
7624,1;12,05455
7625,55;12,1382
7627;12,22062
7628,45;12,30175
7629,9;12,38156
7631,35;12,45999
7632,8;12,53698
7634,25;12,6125
7635,7;12,68648
7637,15;12,7589
7638,6;12,82972
7640,05;12,89891
7641,5;12,96644
7642,95;13,03229
7644,4;13,09642
7645,85;13,1588
7647,3;13,2194
7648,75;13,2782
7650,2;13,33517
7651,65;13,39027
7653,1;13,44347
7654,55;13,49476
7656;13,54408
7657,45;13,59143
7658,9;13,63676
7660,35;13,68005
7661,8;13,72127
7663,25;13,76038
7664,7;13,79737
7666,15;13,83219
7667,6;13,86482
7669,05;13,89524
7670,5;13,9234
7671,95;13,94928
7673,4;13,97286
7674,85;13,9941
7676,3;14,01296
7677,75;14,02944
7679,2;14,04348
7680,65;14,05507
7682,1;14,06426
7683,55;14,07121
7685;14,07609
7686,45;14,07906
7687,9;14,0803
7689,35;14,07997
7690,8;14,07825
7692,25;14,07529
7693,7;14,07128
7695,15;14,06637
7696,6;14,06073
7698,05;14,05454
7699,5;14,04795
7700,95;14,04115
7702,4;14,03429
7703,85;14,02755
7705,3;14,02109
7706,75;14,01509
7708,2;14,0097
7709,65;14,0051
7711,1;14,00146
7712,55;13,99895
7714;13,99772
7715,45;13,99796
7716,9;13,99983
7718,35;14,00349
7719,8;14,00912
7721,25;14,01689
7722,7;14,02695
7724,15;14,03949
7725,6;14,05467
7727,05;14,07257
7728,5;14,09313
7729,95;14,11627
7731,4;14,14189
7732,85;14,16992
7734,3;14,20026
7735,75;14,23284
7737,2;14,26756
7738,65;14,30434
7740,1;14,34309
7741,55;14,38373
7743;14,42617
7744,45;14,47033
7745,9;14,51612
7747,35;14,56346
7748,8;14,61225
7750,25;14,66242
7751,7;14,71388
7753,15;14,76654
7754,6;14,82031
7756,05;14,87511
7757,5;14,93086
7758,95;14,98747
7760,4;15,04485
7761,85;15,10292
7763,3;15,16158
7764,75;15,22077
7766,2;15,28038
7767,65;15,34034
7769,1;15,40056
7770,55;15,46095
7772;15,52142
7773,45;15,58188
7774,9;15,64221
7776,35;15,70231
7777,8;15,76209
7779,25;15,82143
7780,7;15,88023
7782,15;15,93839
7783,6;15,99581
7785,05;16,05237
7786,5;16,10799
7787,95;16,16254
7789,4;16,21593
7790,85;16,26806
7792,3;16,31882
7793,75;16,36811
7795,2;16,41581
7796,65;16,46184
7798,1;16,50609
7799,55;16,54844
7801;16,5888
7802,45;16,62707
7803,9;16,66313
7805,35;16,69689
7806,8;16,72824
7808,25;16,75708
7809,7;16,78331
7811,15;16,80681
7812,6;16,82749
7814,05;16,84525
7815,5;16,85997
7816,95;16,8716
7818,4;16,88029
7819,85;16,88627
7821,3;16,88976
7822,75;16,89098
7824,2;16,89016
7825,65;16,88751
7827,1;16,88326
7828,55;16,87763
7830;16,87085
7831,45;16,86313
7832,9;16,85471
7834,35;16,84579
7835,8;16,83661
7837,25;16,82739
7838,7;16,81835
7840,15;16,80971
7841,6;16,8017
7843,05;16,79454
7844,5;16,78844
7845,95;16,78364
7847,4;16,78036
7848,85;16,77881
7850,3;16,77923
7851,75;16,78183
7853,2;16,78683
7854,65;16,79446
7856,1;16,80495
7857,55;16,81851
7859;16,83536
7860,45;16,85574
7861,9;16,87982
7863,35;16,90752
7864,8;16,9386
7866,25;16,97285
7867,7;17,01002
7869,15;17,04989
7870,6;17,09223
7872,05;17,13681
7873,5;17,18341
7874,95;17,23179
7876,4;17,28172
7877,85;17,33298
7879,3;17,38534
7880,75;17,43856
7882,2;17,49243
7883,65;17,5467
7885,1;17,60115
7886,55;17,65556
7888;17,70968
7889,45;17,7633
7890,9;17,81618
7892,35;17,8681
7893,8;17,91883
7895,25;17,96813
7896,7;18,01578
7898,15;18,06155
7899,6;18,10521
7901,05;18,14653
7902,5;18,18528
7903,95;18,22124
7905,4;18,25417
7906,85;18,28385
7908,3;18,31029
7909,75;18,3336
7911,2;18,35392
7912,65;18,37139
7914,1;18,38614
7915,55;18,39831
7917;18,40805
7918,45;18,41547
7919,9;18,42072
7921,35;18,42394
7922,8;18,42526
7924,25;18,42482
7925,7;18,42275
7927,15;18,41918
7928,6;18,41427
7930,05;18,40813
7931,5;18,40092
7932,95;18,39275
7934,4;18,38378
7935,85;18,37413
7937,3;18,36394
7938,75;18,35335
7940,2;18,34249
7941,65;18,33151
7943,1;18,32053
7944,55;18,30969
7946;18,29913
7947,45;18,28898
7948,9;18,27938
7950,35;18,27047
7951,8;18,26238
7953,25;18,25516
7954,7;18,24879
7956,15;18,24322
7957,6;18,23842
7959,05;18,23436
7960,5;18,23099
7961,95;18,22828
7963,4;18,2262
7964,85;18,2247
7966,3;18,22376
7967,75;18,22333
7969,2;18,22337
7970,65;18,22386
7972,1;18,22476
7973,55;18,22602
7975;18,22762
7976,45;18,22951
7977,9;18,23166
7979,35;18,23403
7980,8;18,23659
7982,25;18,2393
7983,7;18,24212
7985,15;18,24502
7986,6;18,24796
7988,05;18,25091
7989,5;18,25382
7990,95;18,25667
7992,4;18,2594
7993,85;18,262
7995,3;18,26442
7996,75;18,26662
7998,2;18,26859
7999,65;18,27034
8001,1;18,27186
8002,55;18,27318
8004;18,2743
8005,45;18,27523
8006,9;18,27598
8008,35;18,27657
8009,8;18,27699
8011,25;18,27727
8012,7;18,27741
8014,15;18,27741
8015,6;18,2773
8017,05;18,27708
8018,5;18,27675
8019,95;18,27634
8021,4;18,27584
8022,85;18,27528
8024,3;18,27465
8025,75;18,27397
8027,2;18,27325
8028,65;18,2725
8030,1;18,27173
8031,55;18,27094
8033;18,27015
8034,45;18,26937
8035,9;18,2686
8037,35;18,26786
8038,8;18,26716
8040,25;18,2665
8041,7;18,2659
8043,15;18,26536
8044,6;18,26488
8046,05;18,26447
8047,5;18,2641
8048,95;18,26379
8050,4;18,26354
8051,85;18,26333
8053,3;18,26316
8054,75;18,26304
8056,2;18,26296
8057,65;18,26292
8059,1;18,26291
8060,55;18,26293
8062;18,26299
8063,45;18,26307
8064,9;18,26318
8066,35;18,2633
8067,8;18,26345
8069,25;18,26362
8070,7;18,2638
8072,15;18,26399
8073,6;18,26419
8075,05;18,2644
8076,5;18,26461
8077,95;18,26482
8079,4;18,26503
8080,85;18,26524
8082,3;18,26544
8083,75;18,26563
8085,2;18,26582
8086,65;18,26598
8088,1;18,26613
8089,55;18,26626
8091;18,26638
8092,45;18,26649
8093,9;18,26657
8095,35;18,26665
8096,8;18,26671
8098,25;18,26676
8099,7;18,2668
8101,15;18,26683
8102,6;18,26684
8104,05;18,26685
8105,5;18,26685
8106,95;18,26684
8108,4;18,26682
8109,85;18,26679
8111,3;18,26676
8112,75;18,26672
8114,2;18,26668
8115,65;18,26663
8117,1;18,26658
8118,55;18,26652
8120;18,26647
8121,45;18,26641
8122,9;18,26635
8124,35;18,26628
8125,8;18,26622
