time;flow
0,377;0,000
0,382;0,000
0,388;0,000
0,393;0,000
0,398;0,000
0,403;0,000
0,408;0,000
0,413;0,000
0,418;0,000
0,423;0,000
0,428;0,000
0,433;0,000
0,439;0,000
0,444;0,000
0,449;0,000
0,454;0,000
0,459;0,000
0,464;0,000
0,469;0,000
0,474;0,000
0,479;0,000
0,484;0,000
0,490;0,000
0,495;0,000
0,500;0,000
0,505;0,000
0,510;0,000
0,515;0,000
0,520;0,000
0,525;0,000
0,530;0,000
0,535;0,000
0,541;0,000
0,546;0,000
0,551;0,000
0,556;0,000
0,561;0,000
0,566;0,000
0,571;0,000
0,576;0,000
0,581;0,000
0,586;0,000
0,592;0,000
0,597;0,000
0,602;0,000
0,607;0,000
0,612;0,000
0,617;0,000
0,622;0,000
0,627;0,000
0,632;0,000
0,638;0,000
0,643;0,000
0,648;0,000
0,653;0,000
0,658;0,000
0,663;0,000
0,668;0,000
0,673;0,000
0,678;0,000
0,683;0,000
0,689;0,000
0,694;0,000
0,699;0,000
0,704;0,000
0,709;0,000
0,714;0,000
0,719;0,000
0,724;0,000
0,729;0,000
0,734;0,000
0,739;0,000
0,745;0,000
0,750;0,000
0,755;0,000
0,760;0,000
0,765;0,000
0,770;0,000
0,775;0,000
0,780;0,000
0,785;0,000
0,790;0,000
0,796;0,000
0,801;0,000
0,806;0,000
0,811;0,000
0,816;0,000
0,821;0,000
0,826;0,000
0,831;0,000
0,836;0,000
0,841;0,000
0,847;0,000
0,852;0,000
0,857;0,000
0,862;0,000
0,867;0,000
0,872;0,000
0,877;0,000
0,882;0,000
0,887;0,000
0,892;0,000
0,898;0,000
0,903;0,000
0,908;0,000
0,913;0,000
0,918;0,000
0,923;0,000
0,928;0,000
0,933;0,000
0,938;0,000
0,944;0,000
0,949;0,000
0,954;0,000
0,959;0,000
0,964;0,000
0,969;0,000
0,974;0,000
0,979;0,000
0,984;0,000
0,989;0,000
0,994;0,000
1,000;0,000
1,005;0,000
1,010;0,000
1,015;0,000
1,020;0,000
1,025;0,000
1,030;0,000
1,035;0,000
1,040;0,000
1,045;0,000
1,051;0,000
1,056;0,000
1,061;0,000
1,066;0,000
1,071;0,000
1,076;0,000
1,081;0,000
1,086;0,000
1,091;0,000
1,096;0,000
1,102;0,000
1,107;0,000
1,112;0,000
1,117;0,000
1,122;0,000
1,127;0,000
1,132;0,000
1,137;0,000
1,142;0,000
1,147;0,000
1,153;0,000
1,158;0,000
1,163;0,000
1,168;0,000
