time;flow
0,00210;0,02568
0,00213;0,02568
0,00216;0,02568
0,00218;0,02568
0,00221;0,02568
0,00224;0,02568
0,00227;0,02568
0,00230;0,02568
0,00232;0,02568
0,00235;0,02568
0,00238;0,02568
0,00241;0,02568
0,00244;0,02568
0,00246;0,02568
0,00249;0,02568
0,00252;0,02568
0,00255;0,02568
0,00258;0,02568
0,00260;0,02568
0,00263;0,02568
0,00266;0,02568
0,00269;0,02568
0,00272;0,02568
0,00274;0,02568
0,00277;0,02568
0,00280;0,02568
0,00283;0,02568
0,00286;0,02568
0,00288;0,02568
0,00291;0,02568
0,00294;0,02568
0,00297;0,02568
0,00300;0,02568
0,00302;0,02568
0,00305;0,02568
0,00308;0,02568
0,00311;0,02568
0,00314;0,02568
0,00316;0,02568
0,00319;0,02568
0,00322;0,02568
0,00325;0,02568
0,00328;0,02568
0,00330;0,02568
0,00333;0,02568
0,00336;0,02568
0,00339;0,02568
0,00342;0,02568
0,00344;0,02568
0,00347;0,02568
0,00350;0,02568
0,00353;0,02568
0,00356;0,02568
0,00358;0,02568
0,00361;0,02568
0,00364;0,02568
0,00367;0,02568
0,00370;0,02568
0,00372;0,02568
0,00375;0,02568
0,00378;0,02568
0,00381;0,02568
0,00384;0,02568
0,00386;0,02568
0,00389;0,02568
0,00392;0,02568
0,00395;0,02568
0,00398;0,02568
0,00400;0,02568
0,00403;0,02568
0,00406;0,02568
0,00409;0,02568
0,00412;0,02568
0,00414;0,02568
0,00417;0,02568
0,00420;0,02568
0,00423;0,02568
0,00426;0,02568
0,00428;0,02568
0,00431;0,02568
0,00434;0,02568
0,00437;0,02568
0,00440;0,02568
0,00442;0,02568
0,00445;0,02569
0,00448;0,02569
0,00451;0,02569
0,00454;0,02569
0,00456;0,02569
0,00459;0,02569
0,00462;0,02569
0,00465;0,02569
0,00468;0,02569
0,00470;0,02569
0,00473;0,02569
0,00476;0,02569
0,00479;0,02569
0,00482;0,02568
0,00484;0,02568
0,00487;0,02568
0,00490;0,02568
0,00493;0,02568
0,00496;0,02568
0,00498;0,02568
0,00501;0,02568
0,00504;0,02568
0,00507;0,02568
0,00510;0,02568
0,00512;0,02567
0,00515;0,02567
0,00518;0,02567
0,00521;0,02567
0,00524;0,02567
0,00526;0,02567
0,00529;0,02567
0,00532;0,02567
0,00535;0,02567
0,00538;0,02567
0,00540;0,02567
0,00543;0,02567
0,00546;0,02567
0,00549;0,02567
0,00552;0,02568
0,00554;0,02568
0,00557;0,02568
0,00560;0,02568
0,00563;0,02569
0,00566;0,02569
0,00568;0,02569
0,00571;0,02570
0,00574;0,02570
0,00577;0,02571
0,00580;0,02571
0,00582;0,02571
0,00585;0,02572
0,00588;0,02572
0,00591;0,02573
0,00594;0,02573
0,00596;0,02573
0,00599;0,02573
0,00602;0,02573
0,00605;0,02573
0,00608;0,02573
0,00610;0,02573
0,00613;0,02573
0,00616;0,02572
0,00619;0,02572
0,00622;0,02571
0,00624;0,02570
0,00627;0,02569
0,00630;0,02568
0,00633;0,02567
0,00636;0,02565
0,00638;0,02564
0,00641;0,02562
0,00644;0,02560
0,00647;0,02559
0,00650;0,02557
0,00652;0,02555
0,00655;0,02552
0,00658;0,02550
0,00661;0,02548
0,00664;0,02546
0,00666;0,02544
0,00669;0,02542
0,00672;0,02540
0,00675;0,02537
0,00678;0,02535
0,00680;0,02533
0,00683;0,02531
0,00686;0,02530
0,00689;0,02528
0,00692;0,02526
0,00694;0,02525
0,00697;0,02523
0,00700;0,02522
0,00703;0,02521
0,00706;0,02520
0,00708;0,02519
0,00711;0,02519
0,00714;0,02518
0,00717;0,02518
0,00720;0,02518
0,00722;0,02518
0,00725;0,02517
0,00728;0,02517
0,00731;0,02518
0,00734;0,02518
0,00736;0,02518
0,00739;0,02518
0,00742;0,02519
0,00745;0,02519
0,00748;0,02519
0,00750;0,02520
0,00753;0,02520
