time;flow
39600,2;0,0103
39600,6;0,0103
39600,9;0,0103
39601,3;0,0103
39601,7;0,0103
39602;0,0103
39602,4;0,0103
39602,7;0,0103
39603,1;0,0103
39603,5;0,0103
39603,8;0,0102
39604,2;0,0102
39604,5;0,0102
39604,9;0,0102
39605,3;0,0102
39605,6;0,0102
39606;0,0102
39606,3;0,0102
39606,7;0,0102
39607,1;0,0102
39607,4;0,0102
39607,8;0,0102
39608,1;0,0102
39608,5;0,0102
39608,9;0,0102
39609,2;0,0102
39609,6;0,0102
39609,9;0,0102
39610,3;0,0102
39610,7;0,0102
39611;0,0102
39611,4;0,0102
39611,7;0,0102
39612,1;0,0102
39612,5;0,0102
39612,8;0,0102
39613,2;0,0102
39613,5;0,0102
39613,9;0,0102
39614,3;0,0102
39614,6;0,0102
39615;0,0102
39615,3;0,0102
39615,7;0,0102
39616,1;0,0102
39616,4;0,0102
39616,8;0,0102
39617,1;0,0102
39617,5;0,0102
39617,9;0,0102
39618,2;0,0102
39618,6;0,0102
39618,9;0,0102
39619,3;0,0102
39619,7;0,0102
39620;0,0102
39620,4;0,0102
39620,7;0,0102
39621,1;0,0102
39621,5;0,0102
39621,8;0,0102
39622,2;0,0102
39622,5;0,0102
39622,9;0,0102
39623,3;0,0102
39623,6;0,0102
39624;0,0102
39624,3;0,0102
39624,7;0,0102
39625,1;0,0102
39625,4;0,0102
39625,8;0,0102
39626,1;0,0102
39626,5;0,0102
39626,9;0,0102
39627,2;0,0102
39627,6;0,0102
39627,9;0,0102
39628,3;0,0102
39628,7;0,0102
39629;0,0102
39629,4;0,0102
39629,7;0,0102
39630,1;0,0102
39630,5;0,0102
39630,8;0,0102
39631,2;0,0102
39631,5;0,0101
39631,9;0,0101
39632,3;0,0101
39632,6;0,0101
39633;0,0101
39633,3;0,0101
39633,7;0,0101
39634,1;0,0101
39634,4;0,0101
39634,8;0,0101
39635,1;0,0101
39635,5;0,0101
39635,9;0,0101
39636,2;0,0101
39636,6;0,0101
39636,9;0,0101
39637,3;0,0101
39637,7;0,0101
39638;0,0101
39638,4;0,0101
39638,7;0,0101
39639,1;0,0101
39639,5;0,0101
39639,8;0,0101
39640,2;0,0101
39640,5;0,0101
39640,9;0,0101
39641,3;0,0101
39641,6;0,0101
39642;0,0101
39642,3;0,0101
39642,7;0,0101
39643,1;0,0102
39643,4;0,0102
39643,8;0,0102
39644,1;0,0102
39644,5;0,0102
39644,9;0,0102
39645,2;0,0102
39645,6;0,0103
39645,9;0,0103
39646,3;0,0103
39646,7;0,0103
39647;0,0103
39647,4;0,0104
39647,7;0,0104
39648,1;0,0104
39648,5;0,0104
39648,8;0,0104
39649,2;0,0104
39649,5;0,0105
39649,9;0,0105
39650,3;0,0105
39650,6;0,0105
39651;0,0105
39651,3;0,0105
39651,7;0,0105
39652,1;0,0105
39652,4;0,0105
39652,8;0,0105
39653,1;0,0105
39653,5;0,0105
39653,9;0,0105
39654,2;0,0105
39654,6;0,0104
39654,9;0,0104
39655,3;0,0104
39655,7;0,0104
39656;0,0103
39656,4;0,0103
39656,7;0,0102
39657,1;0,0102
39657,5;0,0102
39657,8;0,0101
39658,2;0,01
39658,5;0,01
39658,9;0,0099
39659,3;0,0098
39659,6;0,0098
39660;0,0097
39660,3;0,0096
39660,7;0,0096
39661,1;0,0095
39661,4;0,0094
39661,8;0,0093
39662,1;0,0093
39662,5;0,0092
39662,9;0,0091
39663,2;0,0091
39663,6;0,009
39663,9;0,0089
39664,3;0,0089
39664,7;0,0088
39665;0,0088
39665,4;0,0088
39665,7;0,0088
39666,1;0,0087
39666,5;0,0087
39666,8;0,0087
39667,2;0,0087
39667,5;0,0087
39667,9;0,0088
39668,3;0,0088
39668,6;0,0089
39669;0,0089
39669,3;0,009
39669,7;0,0091
39670,1;0,0092
39670,4;0,0093
39670,8;0,0094
39671,1;0,0096
39671,5;0,0098
39671,9;0,0099
39672,2;0,0101
39672,6;0,0103
39672,9;0,0106
39673,3;0,0108
39673,7;0,0111
39674;0,0113
39674,4;0,0116
39674,7;0,0119
39675,1;0,0122
39675,5;0,0125
39675,8;0,0128
39676,2;0,0132
39676,5;0,0135
39676,9;0,0138
39677,3;0,0142
39677,6;0,0145
39678;0,0148
39678,3;0,0152
39678,7;0,0155
39679,1;0,0159
39679,4;0,0162
39679,8;0,0165
39680,1;0,0168
39680,5;0,0171
39680,9;0,0174
39681,2;0,0177
39681,6;0,018
39681,9;0,0183
39682,3;0,0186
39682,7;0,0188
39683;0,019
39683,4;0,0193
39683,7;0,0195
39684,1;0,0196
39684,5;0,0198
39684,8;0,0199
39685,2;0,0201
39685,5;0,0202
39685,9;0,0202
39686,3;0,0203
39686,6;0,0203
39687;0,0203
39687,3;0,0203
39687,7;0,0202
39688,1;0,0202
39688,4;0,0201
39688,8;0,0199
39689,1;0,0198
39689,5;0,0196
39689,9;0,0195
39690,2;0,0193
39690,6;0,0191
39690,9;0,0188
39691,3;0,0186
39691,7;0,0183
39692;0,0181
39692,4;0,0178
39692,7;0,0175
39693,1;0,0172
39693,5;0,0169
39693,8;0,0165
39694,2;0,0162
39694,5;0,0159
39694,9;0,0156
39695,3;0,0152
39695,6;0,0149
39696;0,0145
39696,3;0,0142
39696,7;0,0138
39697,1;0,0135
39697,4;0,0131
39697,8;0,0128
39698,1;0,0125
39698,5;0,0121
39698,9;0,0118
39699,2;0,0115
39699,6;0,0112
39699,9;0,0109
39700,3;0,0106
39700,7;0,0103
39701;0,01
39701,4;0,0098
39701,7;0,0095
39702,1;0,0093
39702,5;0,0091
39702,8;0,0089
39703,2;0,0087
39703,5;0,0085
39703,9;0,0084
39704,3;0,0082
39704,6;0,0081
39705;0,0079
39705,3;0,0078
39705,7;0,0077
39706,1;0,0076
39706,4;0,0076
39706,8;0,0075
39707,1;0,0074
39707,5;0,0074
39707,9;0,0074
39708,2;0,0074
39708,6;0,0074
39708,9;0,0074
39709,3;0,0074
39709,7;0,0075
39710;0,0075
39710,4;0,0076
39710,7;0,0077
39711,1;0,0078
39711,5;0,0079
39711,8;0,008
39712,2;0,0081
39712,5;0,0083
39712,9;0,0084
39713,3;0,0086
39713,6;0,0088
39714;0,009
39714,3;0,0092
39714,7;0,0094
39715,1;0,0097
39715,4;0,0099
39715,8;0,0102
39716,1;0,0105
39716,5;0,0107
39716,9;0,011
39717,2;0,0113
39717,6;0,0117
39717,9;0,012
39718,3;0,0123
39718,7;0,0126
39719;0,013
39719,4;0,0133
39719,7;0,0137
39720,1;0,014
39720,5;0,0143
39720,8;0,0147
39721,2;0,015
39721,5;0,0154
39721,9;0,0157
39722,3;0,016
39722,6;0,0164
39723;0,0167
39723,3;0,017
39723,7;0,0173
39724,1;0,0176
39724,4;0,0179
39724,8;0,0182
39725,1;0,0184
39725,5;0,0187
39725,9;0,0189
39726,2;0,0191
39726,6;0,0193
39726,9;0,0195
39727,3;0,0197
39727,7;0,0198
39728;0,0199
39728,4;0,02
39728,7;0,0201
39729,1;0,0202
39729,5;0,0202
39729,8;0,0202
39730,2;0,0202
39730,5;0,0201
39730,9;0,0201
39731,3;0,02
39731,6;0,0199
39732;0,0197
39732,3;0,0196
39732,7;0,0194
39733,1;0,0192
39733,4;0,019
39733,8;0,0188
39734,1;0,0185
39734,5;0,0183
39734,9;0,018
39735,2;0,0177
39735,6;0,0174
39735,9;0,0171
39736,3;0,0168
39736,7;0,0165
39737;0,0162
39737,4;0,0158
39737,7;0,0155
39738,1;0,0152
39738,5;0,0148
39738,8;0,0145
39739,2;0,0141
39739,5;0,0138
39739,9;0,0135
39740,3;0,0131
39740,6;0,0128
39741;0,0125
39741,3;0,0122
39741,7;0,0119
39742,1;0,0116
39742,4;0,0113
39742,8;0,011
39743,1;0,0107
39743,5;0,0105
39743,9;0,0102
39744,2;0,01
39744,6;0,0098
39744,9;0,0096
39745,3;0,0095
39745,7;0,0093
39746;0,0092
39746,4;0,009
39746,7;0,0089
39747,1;0,0088
39747,5;0,0088
39747,8;0,0087
39748,2;0,0086
39748,5;0,0086
39748,9;0,0086
39749,3;0,0085
39749,6;0,0085
39750;0,0085
39750,3;0,0085
39750,7;0,0085
39751,1;0,0086
39751,4;0,0086
39751,8;0,0086
39752,1;0,0087
39752,5;0,0087
39752,9;0,0088
39753,2;0,0088
39753,6;0,0089
39753,9;0,0089
39754,3;0,009
39754,7;0,0091
39755;0,0091
39755,4;0,0092
39755,7;0,0093
39756,1;0,0094
39756,5;0,0094
39756,8;0,0095
39757,2;0,0096
39757,5;0,0096
39757,9;0,0097
39758,3;0,0098
39758,6;0,0098
39759;0,0099
39759,3;0,0099
39759,7;0,01
39760,1;0,01
39760,4;0,0101
39760,8;0,0101
39761,1;0,0101
39761,5;0,0101
39761,9;0,0102
39762,2;0,0102
39762,6;0,0102
39762,9;0,0102
39763,3;0,0102
39763,7;0,0102
39764;0,0102
39764,4;0,0102
39764,7;0,0102
39765,1;0,0102
39765,5;0,0102
39765,8;0,0102
39766,2;0,0102
39766,5;0,0102
39766,9;0,0102
39767,3;0,0102
39767,6;0,0101
39768;0,0101
39768,3;0,0101
39768,7;0,0101
39769,1;0,0101
39769,4;0,01
39769,8;0,01
39770,1;0,01
39770,5;0,01
39770,9;0,01
39771,2;0,0099
39771,6;0,0099
39771,9;0,0099
39772,3;0,0099
39772,7;0,0099
39773;0,0098
39773,4;0,0098
39773,7;0,0098
39774,1;0,0098
39774,5;0,0098
39774,8;0,0098
39775,2;0,0098
39775,5;0,0098
39775,9;0,0098
39776,3;0,0097
39776,6;0,0097
39777;0,0097
39777,3;0,0097
39777,7;0,0097
39778,1;0,0097
39778,4;0,0097
39778,8;0,0097
39779,1;0,0097
39779,5;0,0097
39779,9;0,0097
39780,2;0,0097
39780,6;0,0097
39780,9;0,0097
39781,3;0,0097
39781,7;0,0097
39782;0,0097
39782,4;0,0097
39782,7;0,0097
39783,1;0,0097
39783,5;0,0097
39783,8;0,0098
39784,2;0,0098
39784,5;0,0098
39784,9;0,0098
39785,3;0,0098
39785,6;0,0098
39786;0,0098
39786,3;0,0098
39786,7;0,0098
39787,1;0,0098
39787,4;0,0098
39787,8;0,0098
39788,1;0,0098
39788,5;0,0098
39788,9;0,0098
39789,2;0,0098
39789,6;0,0098
39789,9;0,0098
39790,3;0,0098
39790,7;0,0098
39791;0,0098
39791,4;0,0098
39791,7;0,0098
39792,1;0,0098
39792,5;0,0098
