time;flow
0,0147;10,2
0,0149;10,2
0,015;10,2
0,0152;10,2
0,0154;10,2
0,0155;10,2
0,0157;10,2
0,0158;10,2
0,016;10,2
0,0162;10,2
0,0163;10,2
0,0165;10,2
0,0166;10,2
0,0168;10,2
0,017;10,2
0,0171;10,2
0,0173;10,2
0,0174;10,2
0,0176;10,2
0,0178;10,2
0,0179;10,2
0,0181;10,2
0,0182;10,2
0,0184;10,2
0,0186;10,2
0,0187;10,2
0,0189;10,2
0,019;10,2
0,0192;10,2
0,0194;10,2
0,0195;10,2
0,0197;10,2
0,0198;10,2
0,02;10,2
0,0202;10,2
0,0203;10,2
0,0205;10,2
0,0206;10,2
0,0208;10,2
0,021;10,2
0,0211;10,2
0,0213;10,2
0,0214;10,2
0,0216;10,2
0,0218;10,2
0,0219;10,2
0,0221;10,2
0,0222;10,2
0,0224;10,2
0,0226;10,2
0,0227;10,2
0,0229;10,2
0,023;10,2
0,0232;10,2
0,0234;10,2
0,0235;10,2
0,0237;10,2
0,0238;10,2
0,024;10,2
0,0242;10,2
0,0243;10,2
0,0245;10,2
0,0246;10,2
0,0248;10,2
0,025;10,2
0,0251;10,2
0,0253;10,2
0,0254;10,2
0,0256;10,2
0,0258;10,2
0,0259;10,2
0,0261;10,2
0,0262;10,2
0,0264;10,2
0,0266;10,2
0,0267;10,2
0,0269;10,2
0,027;10,2
0,0272;10,2
0,0274;10,2
0,0275;10,2
0,0277;10,2
0,0278;10,2
0,028;10,2
0,0282;10,2
0,0283;10,2
0,0285;10,2
0,0286;10,2
0,0288;10,2
0,029;10,2
0,0291;10,2
0,0293;10,2
0,0294;10,2
0,0296;10,2
0,0298;10,2
0,0299;10,3
0,0301;10,3
0,0302;10,3
0,0304;10,3
0,0306;10,3
0,0307;10,3
0,0309;10,3
0,031;10,3
0,0312;10,3
0,0314;10,3
0,0315;10,3
0,0317;10,3
0,0318;10,4
0,032;10,4
0,0322;10,4
0,0323;10,4
0,0325;10,4
0,0326;10,4
0,0328;10,4
0,033;10,4
0,0331;10,4
0,0333;10,4
0,0334;10,4
0,0336;10,5
0,0338;10,5
0,0339;10,5
0,0341;10,5
0,0342;10,5
0,0344;10,5
0,0346;10,5
0,0347;10,5
0,0349;10,5
0,035;10,5
0,0352;10,5
0,0354;10,6
0,0355;10,6
0,0357;10,6
0,0358;10,6
0,036;10,6
0,0362;10,6
0,0363;10,6
0,0365;10,6
0,0366;10,6
0,0368;10,6
0,037;10,6
0,0371;10,6
0,0373;10,6
0,0374;10,6
0,0376;10,6
0,0378;10,6
0,0379;10,6
0,0381;10,6
0,0382;10,6
0,0384;10,6
0,0386;10,6
0,0387;10,6
0,0389;10,6
0,039;10,6
0,0392;10,6
0,0394;10,6
0,0395;10,6
0,0397;10,6
0,0398;10,6
0,04;10,6
0,0402;10,6
0,0403;10,6
0,0405;10,6
0,0406;10,6
0,0408;10,6
0,041;10,6
0,0411;10,6
0,0413;10,6
0,0414;10,6
0,0416;10,6
0,0418;10,6
0,0419;10,6
0,0421;10,6
0,0422;10,6
0,0424;10,6
0,0426;10,6
0,0427;10,6
0,0429;10,6
0,043;10,6
0,0432;10,6
0,0434;10,6
0,0435;10,6
0,0437;10,6
