time;flow;;
0;0,0681;;
0,64;0,0681;;
1,28;0,0681;;
1,92;0,0681;;
2,56;0,0681;;
3,2;0,0681;;
3,84;0,0681;;
4,48;0,0681;;
5,12;0,0681;;
5,76;0,0681;;
6,4;0,0681;;
7,04;0,0681;;
7,68;0,0681;;
8,32;0,0681;;
8,96;0,0681;;
9,6;0,0681;;
10,24;0,0681;;
10,88;0,0681;;
11,52;0,0681;;
12,16;0,0681;;
12,8;0,0681;;
13,44;0,0681;;
14,08;0,0681;;
14,72;0,0681;;
15,36;0,0681;;
16;0,0681;;
16,64;0,0681;;
17,28;0,0681;;
17,92;0,0681;;
18,56;0,0681;;
19,2;0,0681;;
19,84;0,0681;;
20,48;0,0681;;
21,12;0,0681;;
21,76;0,0681;;
22,4;0,0681;;
23,04;0,0681;;
23,68;0,0681;;
24,32;0,0681;;
24,96;0,0681;;
25,6;0,0681;;
26,24;0,0681;;
26,88;0,0681;;
27,52;0,0681;;
28,16;0,0681;;
28,8;0,0681;;
29,44;0,0681;;
30,08;0,0681;;
30,72;0,0681;;
31,36;0,0681;;
32;0,0681;;
32,64;0,0681;;
33,28;0,0681;;
33,92;0,0681;;
34,56;0,0681;;
35,2;0,0681;;
35,84;0,0681;;
36,48;0,0681;;
37,12;0,0681;;
37,76;0,0681;;
38,4;0,0681;;
39,04;0,0681;;
39,68;0,0681;;
40,32;0,0681;;
40,96;0,0681;;
41,6;0,0681;;
42,24;0,0681;;
42,88;0,0681;;
43,52;0,0681;;
44,16;0,0681;;
44,8;0,0681;;
45,44;0,0681;;
46,08;0,0681;;
46,72;0,0681;;
47,36;0,0681;;
48;0,0681;;
48,64;0,0681;;
49,28;0,0681;;
49,92;0,06919;;
50,56;0,06919;;
51,2;0,06919;;
51,84;0,06919;;
52,48;0,06919;;
53,12;0,06919;;
53,76;0,06919;;
54,4;0,06919;;
55,04;0,06919;;
55,68;0,06919;;
56,32;0,06919;;
56,96;0,06919;;
57,6;0,06919;;
58,24;0,06919;;
58,88;0,06919;;
59,52;0,06919;;
60,16;0,06919;;
60,8;0,06919;;
61,44;0,06919;;
62,08;0,06919;;
62,72;0,06919;;
63,36;0,06919;;
64;0,06919;;
64,64;0,06919;;
65,28;0,06919;;
65,92;0,06919;;
66,56;0,06919;;
67,2;0,06919;;
67,84;0,06919;;
68,48;0,06919;;
69,12;0,06919;;
69,76;0,06919;;
70,4;0,06919;;
71,04;0,06919;;
71,68;0,06919;;
72,32;0,06919;;
72,96;0,06919;;
73,6;0,06919;;
74,24;0,06919;;
74,88;0,06919;;
75,52;0,06919;;
76,16;0,06919;;
