time;flow
16114,56;0,05701
16115,2;0,05702
16115,84;0,05702
16116,48;0,05702
16117,12;0,05703
16117,76;0,05703
16118,4;0,05703
16119,04;0,05704
16119,68;0,05704
16120,32;0,05704
16120,96;0,05704
16121,6;0,05704
16122,24;0,05704
16122,88;0,05704
16123,52;0,05704
16124,16;0,05705
16124,8;0,05704
16125,44;0,05704
16126,08;0,05704
16126,72;0,05704
16127,36;0,05704
16128;0,05704
16128,64;0,05704
16129,28;0,05704
16129,92;0,05704
16130,56;0,05703
16131,2;0,05703
16131,84;0,05703
16132,48;0,05703
16133,12;0,05702
16133,76;0,05702
16134,4;0,05702
16135,04;0,05701
16135,68;0,05701
16136,32;0,05701
16136,96;0,057
16137,6;0,057
16138,24;0,05699
16138,88;0,05699
16139,52;0,05698
16140,16;0,05698
16140,8;0,05698
16141,44;0,05697
16142,08;0,05697
16142,72;0,05696
16143,36;0,05696
16144;0,05695
16144,64;0,05695
16145,28;0,05694
16145,92;0,05694
16146,56;0,05693
16147,2;0,05692
16147,84;0,05692
16148,48;0,05691
16149,12;0,05691
16149,76;0,0569
16150,4;0,0569
16151,04;0,05689
16151,68;0,05689
16152,32;0,05688
16152,96;0,05688
16153,6;0,05687
16154,24;0,05687
16154,88;0,05686
16155,52;0,05686
16156,16;0,05686
16156,8;0,05685
16157,44;0,05685
16158,08;0,05684
16158,72;0,05684
16159,36;0,05684
16160;0,05683
16160,64;0,05683
16161,28;0,05683
16161,92;0,05683
16162,56;0,05682
16163,2;0,05682
16163,84;0,05682
16164,48;0,05682
16165,12;0,05682
16165,76;0,05682
16166,4;0,05681
16167,04;0,05681
16167,68;0,05681
16168,32;0,05681
16168,96;0,05682
16169,6;0,05682
16170,24;0,05682
16170,88;0,05682
16171,52;0,05682
16172,16;0,05682
16172,8;0,05683
16173,44;0,05683
16174,08;0,05683
16174,72;0,05683
16175,36;0,05684
16176;0,05684
16176,64;0,05685
16177,28;0,05685
16177,92;0,05685
16178,56;0,05686
16179,2;0,05686
16179,84;0,05687
16180,48;0,05687
16181,12;0,05688
16181,76;0,05689
16182,4;0,05689
16183,04;0,0569
16183,68;0,0569
16184,32;0,05691
16184,96;0,05692
16185,6;0,05692
16186,24;0,05693
16186,88;0,05694
16187,52;0,05694
16188,16;0,05695
16188,8;0,05696
16189,44;0,05696
16190,08;0,05697
16190,72;0,05698
16191,36;0,05699
16192;0,05699
16192,64;0,057
16193,28;0,05701
16193,92;0,05702
16194,56;0,05703
16195,2;0,05703
16195,84;0,05704
16196,48;0,05705
16197,12;0,05706
16197,76;0,05707
16198,4;0,05707
16199,04;0,05708
16199,68;0,05709
16200,32;0,0571
16200,96;0,05711
16201,6;0,05711
16202,24;0,05712
16202,88;0,05713
16203,52;0,05714
16204,16;0,05715
16204,8;0,05715
16205,44;0,05716
16206,08;0,05717
16206,72;0,05718
16207,36;0,05719
16208;0,05719
16208,64;0,0572
16209,28;0,05721
16209,92;0,05722
16210,56;0,05722
16211,2;0,05723
16211,84;0,05724
16212,48;0,05725
16213,12;0,05726
16213,76;0,05726
16214,4;0,05727
16215,04;0,05728
16215,68;0,05729
16216,32;0,05729
16216,96;0,0573
16217,6;0,05731
16218,24;0,05731
16218,88;0,05732
16219,52;0,05733
16220,16;0,05734
16220,8;0,05734
16221,44;0,05735
16222,08;0,05736
16222,72;0,05736
16223,36;0,05737
16224;0,05738
16224,64;0,05738
16225,28;0,05739
16225,92;0,05739
16226,56;0,0574
16227,2;0,05741
16227,84;0,05741
16228,48;0,05742
16229,12;0,05742
16229,76;0,05743
16230,4;0,05743
16231,04;0,05744
16231,68;0,05744
16232,32;0,05745
16232,96;0,05745
16233,6;0,05746
16234,24;0,05746
16234,88;0,05747
16235,52;0,05747
16236,16;0,05748
16236,8;0,05748
16237,44;0,05749
16238,08;0,05749
16238,72;0,05749
16239,36;0,0575
16240;0,0575
16240,64;0,05751
16241,28;0,05751
16241,92;0,05751
16242,56;0,05752
16243,2;0,05752
16243,84;0,05752
16244,48;0,05752
16245,12;0,05753
16245,76;0,05753
16246,4;0,05753
16247,04;0,05753
16247,68;0,05754
16248,32;0,05754
16248,96;0,05754
16249,6;0,05754
16250,24;0,05754
16250,88;0,05755
16251,52;0,05755
16252,16;0,05755
16252,8;0,05755
16253,44;0,05755
16254,08;0,05755
16254,72;0,05755
16255,36;0,05756
16256;0,05756
16256,64;0,05756
16257,28;0,05756
16257,92;0,05756
16258,56;0,05756
16259,2;0,05756
16259,84;0,05756
16260,48;0,05756
16261,12;0,05756
16261,76;0,05756
16262,4;0,05756
16263,04;0,05756
16263,68;0,05756
16264,32;0,05757
16264,96;0,05757
16265,6;0,05757
16266,24;0,05757
16266,88;0,05757
16267,52;0,05757
16268,16;0,05757
16268,8;0,05757
16269,44;0,05757
16270,08;0,05757
16270,72;0,05757
16271,36;0,05757
16272;0,05757
16272,64;0,05757
16273,28;0,05757
16273,92;0,05757
16274,56;0,05757
16275,2;0,05757
16275,84;0,05757
16276,48;0,05758
16277,12;0,05758
16277,76;0,05758
16278,4;0,05758
16279,04;0,05758
16279,68;0,05758
16280,32;0,05758
16280,96;0,05758
16281,6;0,05758
16282,24;0,05758
16282,88;0,05759
16283,52;0,05759
16284,16;0,05759
16284,8;0,05759
16285,44;0,05759
16286,08;0,05759
16286,72;0,0576
16287,36;0,0576
16288;0,0576
16288,64;0,0576
16289,28;0,05761
16289,92;0,05761
16290,56;0,05761
16291,2;0,05761
16291,84;0,05762
16292,48;0,05762
16293,12;0,05762
16293,76;0,05762
