time;flow
3,958;18,929
3,959;18,928
3,960;18,927
3,961;18,925
3,962;18,924
3,963;18,923
3,964;18,921
3,966;18,920
3,967;18,918
3,968;18,917
3,969;18,915
3,970;18,914
3,971;18,912
3,972;18,910
3,973;18,908
3,974;18,907
3,975;18,905
3,977;18,903
3,978;18,902
3,979;18,900
3,980;18,898
3,981;18,896
3,982;18,895
3,983;18,893
3,984;18,891
3,985;18,890
3,986;18,888
3,988;18,886
3,989;18,885
3,990;18,884
3,991;18,882
3,992;18,881
3,993;18,879
3,994;18,878
3,995;18,877
3,996;18,876
3,997;18,875
3,999;18,873
4,000;18,871
4,001;18,869
4,002;18,867
4,003;18,865
4,004;18,862
4,005;18,860
4,006;18,857
4,007;18,855
4,008;18,852
4,010;18,849
4,011;18,846
4,012;18,843
4,013;18,840
4,014;18,837
4,015;18,834
4,016;18,831
4,017;18,828
4,018;18,825
4,019;18,822
4,021;18,819
4,022;18,816
4,023;18,813
4,024;18,810
4,025;18,807
4,026;18,804
4,027;18,802
4,028;18,799
4,029;18,796
4,030;18,794
4,032;18,791
4,033;18,789
4,034;18,787
4,035;18,785
4,036;18,783
4,037;18,781
4,038;18,780
4,039;18,778
4,040;18,776
4,041;18,775
4,043;18,773
4,044;18,771
4,045;18,769
4,046;18,766
4,047;18,764
4,048;18,762
4,049;18,759
4,050;18,757
4,051;18,755
4,052;18,752
4,054;18,749
4,055;18,747
4,056;18,744
4,057;18,742
4,058;18,739
4,059;18,736
4,060;18,734
4,061;18,731
4,062;18,729
4,063;18,726
4,065;18,724
4,066;18,721
4,067;18,719
4,068;18,716
4,069;18,714
4,070;18,712
4,071;18,710
4,072;18,708
4,073;18,706
4,074;18,704
4,076;18,702
4,077;18,701
4,078;18,699
4,079;18,698
4,080;18,697
4,081;18,695
4,082;18,694
4,083;18,692
4,084;18,691
4,085;18,689
4,087;18,687
4,088;18,685
4,089;18,683
4,090;18,681
4,091;18,679
4,092;18,677
4,093;18,675
4,094;18,673
4,095;18,670
4,096;18,668
4,098;18,666
4,099;18,664
4,100;18,662
4,101;18,660
4,102;18,657
4,103;18,655
4,104;18,653
4,105;18,651
4,106;18,649
4,107;18,647
4,109;18,645
4,110;18,643
4,111;18,642
4,112;18,640
4,113;18,638
4,114;18,637
4,115;18,635
4,116;18,634
4,117;18,633
4,118;18,631
4,120;18,630
4,121;18,629
4,122;18,627
4,123;18,626
4,124;18,624
4,125;18,622
4,126;18,620
4,127;18,618
4,128;18,617
4,129;18,615
4,131;18,612
4,132;18,610
4,133;18,608
4,134;18,606
4,135;18,604
4,136;18,602
4,137;18,600
4,138;18,597
4,139;18,595
4,140;18,593
4,142;18,591
4,143;18,589
4,144;18,587
4,145;18,585
4,146;18,583
4,147;18,581
4,148;18,579
4,149;18,577
4,150;18,575
4,151;18,573
4,153;18,571
4,154;18,570
4,155;18,568
4,156;18,567
4,157;18,566
4,158;18,564
4,159;18,563
4,160;18,562
4,161;18,561
4,162;18,560
4,164;18,559
4,165;18,557
4,166;18,556
4,167;18,554
4,168;18,553
4,169;18,551
4,170;18,550
4,171;18,548
4,172;18,546
4,173;18,545
4,175;18,543
4,176;18,541
4,177;18,539
4,178;18,538
4,179;18,536
4,180;18,534
4,181;18,533
4,182;18,531
4,183;18,529
4,184;18,527
4,186;18,526
4,187;18,524
4,188;18,523
4,189;18,521
4,190;18,520
4,191;18,518
4,192;18,517
4,193;18,515
4,194;18,514
4,195;18,513
4,197;18,512
4,198;18,511
4,199;18,507
4,200;18,501
4,201;18,495
4,202;18,489
4,203;18,482
4,204;18,474
4,205;18,467
4,206;18,459
4,208;18,450
4,209;18,442
4,210;18,433
4,211;18,424
4,212;18,415
4,213;18,406
4,214;18,396
4,215;18,387
4,216;18,377
4,217;18,368
4,219;18,358
4,220;18,348
4,221;18,339
4,222;18,329
4,223;18,320
4,224;18,310
4,225;18,301
4,226;18,292
4,227;18,284
4,228;18,275
4,230;18,267
4,231;18,259
4,232;18,251
4,233;18,244
4,234;18,237
4,235;18,230
4,236;18,224
4,237;18,218
4,238;18,212
4,239;18,207
4,241;18,201
4,242;18,194
4,243;18,187
4,244;18,179
4,245;18,172
4,246;18,163
4,247;18,155
4,248;18,146
4,249;18,137
4,250;18,128
4,252;18,118
4,253;18,109
4,254;18,099
4,255;18,089
4,256;18,079
4,257;18,069
4,258;18,059
4,259;18,049
4,260;18,039
4,261;18,029
4,263;18,019
4,264;18,009
4,265;18,000
4,266;17,990
4,267;17,981
4,268;17,972
4,269;17,963
4,270;17,954
4,271;17,946
4,272;17,938
4,274;17,931
4,275;17,923
4,276;17,917
4,277;17,910
4,278;17,905
4,279;17,902
4,280;17,901
4,281;17,900
4,282;17,899
4,283;17,897
4,285;17,896
4,286;17,895
4,287;17,893
4,288;17,892
4,289;17,890
4,290;17,889
4,291;17,887
4,292;17,885
4,293;17,884
4,294;17,882
4,296;17,880
4,297;17,878
4,298;17,877
4,299;17,875
4,300;17,873
4,301;17,871
4,302;17,870
4,303;17,868
4,304;17,866
4,305;17,865
4,307;17,863
4,308;17,861
4,309;17,860
4,310;17,858
4,311;17,857
4,312;17,855
4,313;17,854
4,314;17,853
4,315;17,852
4,316;17,850
4,318;17,849
4,319;17,848
4,320;17,847
4,321;17,846
4,322;17,845
4,323;17,844
4,324;17,843
4,325;17,841
4,326;17,840
4,327;17,838
4,329;17,837
4,330;17,835
4,331;17,834
4,332;17,832
4,333;17,830
4,334;17,829
4,335;17,827
4,336;17,825
4,337;17,824
4,338;17,822
4,340;17,820
4,341;17,818
4,342;17,817
4,343;17,815
4,344;17,813
4,345;17,811
4,346;17,810
4,347;17,808
4,348;17,807
4,349;17,805
4,351;17,804
4,352;17,802
4,353;17,801
4,354;17,799
4,355;17,798
4,356;17,797
4,357;17,796
4,358;17,795
4,359;17,794
4,360;17,792
4,362;17,790
4,363;17,789
4,364;17,787
4,365;17,785
4,366;17,783
4,367;17,780
4,368;17,778
4,369;17,776
4,370;17,774
4,371;17,771
4,373;17,769
4,374;17,766
4,375;17,764
4,376;17,761
4,377;17,758
4,378;17,756
4,379;17,753
4,380;17,750
4,381;17,748
4,382;17,745
4,384;17,743
4,385;17,740
4,386;17,738
4,387;17,735
4,388;17,733
4,389;17,730
4,390;17,728
4,391;17,726
4,392;17,724
4,393;17,722
4,395;17,720
4,396;17,718
4,397;17,716
4,398;17,715
4,399;17,713
4,400;17,712
4,401;17,710
4,402;17,709
4,403;17,707
4,404;17,705
4,406;17,703
4,407;17,701
4,408;17,698
4,409;17,696
4,410;17,694
4,411;17,691
4,412;17,689
4,413;17,686
4,414;17,684
4,415;17,681
4,417;17,679
4,418;17,676
4,419;17,673
4,420;17,671
4,421;17,668
4,422;17,666
4,423;17,663
4,424;17,660
4,425;17,658
4,426;17,655
4,428;17,653
4,429;17,651
4,430;17,648
4,431;17,646
4,432;17,644
4,433;17,642
4,434;17,640
4,435;17,638
4,436;17,636
4,437;17,635
4,439;17,633
4,440;17,632
4,441;17,630
4,442;17,628
4,443;17,627
4,444;17,625
4,445;17,623
4,446;17,621
4,447;17,618
4,448;17,616
4,450;17,614
4,451;17,612
4,452;17,609
4,453;17,607
4,454;17,604
4,455;17,601
4,456;17,599
4,457;17,596
4,458;17,594
4,459;17,591
4,461;17,588
4,462;17,586
4,463;17,583
4,464;17,581
4,465;17,578
4,466;17,576
4,467;17,573
4,468;17,571
4,469;17,568
4,470;17,566
4,472;17,564
4,473;17,562
4,474;17,560
4,475;17,558
4,476;17,556
4,477;17,554
4,478;17,553
4,479;17,551
4,480;17,550
4,481;17,549
4,483;17,547
4,484;17,546
4,485;17,544
4,486;17,542
4,487;17,541
4,488;17,539
4,489;17,537
4,490;17,535
4,491;17,533
4,492;17,531
4,494;17,529
4,495;17,527
4,496;17,525
4,497;17,522
4,498;17,520
4,499;17,518
4,500;17,516
4,501;17,514
4,502;17,511
4,503;17,509
4,505;17,507
4,506;17,505
4,507;17,503
4,508;17,501
4,509;17,499
4,510;17,497
4,511;17,495
4,512;17,493
4,513;17,492
4,514;17,490
4,516;17,488
4,517;17,487
4,518;17,486
4,519;17,484
4,520;17,481
4,521;17,475
4,522;17,469
4,523;17,462
4,524;17,455
4,525;17,447
4,527;17,439
4,528;17,431
4,529;17,422
4,530;17,413
4,531;17,404
4,532;17,395
4,533;17,385
4,534;17,376
4,535;17,366
4,536;17,356
4,538;17,346
4,539;17,336
4,540;17,326
4,541;17,316
4,542;17,306
4,543;17,296
4,544;17,286
4,545;17,276
4,546;17,266
4,547;17,257
4,549;17,248
4,550;17,239
4,551;17,230
4,552;17,222
4,553;17,214
4,554;17,206
4,555;17,198
4,556;17,191
4,557;17,185
4,558;17,179
4,560;17,173
4,561;17,168
4,562;17,162
4,563;17,155
4,564;17,149
4,565;17,142
4,566;17,134
4,567;17,126
4,568;17,118
4,569;17,110
4,571;17,101
4,572;17,093
4,573;17,084
4,574;17,074
4,575;17,065
4,576;17,056
4,577;17,046
4,578;17,036
4,579;17,027
4,580;17,017
4,582;17,008
4,583;16,998
4,584;16,989
4,585;16,979
4,586;16,970
4,587;16,961
4,588;16,952
4,589;16,943
4,590;16,935
4,591;16,926
4,593;16,919
4,594;16,911
4,595;16,904
4,596;16,897
4,597;16,890
4,598;16,884
4,599;16,878
4,600;16,875
4,601;16,875
4,602;16,874
4,604;16,873
4,605;16,872
4,606;16,871
4,607;16,870
4,608;16,869
4,609;16,868
4,610;16,867
4,611;16,865
4,612;16,864
4,613;16,863
4,615;16,862
4,616;16,860
4,617;16,859
4,618;16,858
4,619;16,856
4,620;16,855
4,621;16,854
4,622;16,853
4,623;16,851
4,624;16,850
4,626;16,849
4,627;16,847
4,628;16,846
4,629;16,845
4,630;16,844
4,631;16,843
4,632;16,842
4,633;16,841
4,634;16,840
4,635;16,839
4,637;16,838
4,638;16,837
4,639;16,836
4,640;16,835
4,641;16,834
4,642;16,833
4,643;16,831
4,644;16,830
4,645;16,828
4,646;16,826
4,648;16,825
4,649;16,823
4,650;16,821
4,651;16,819
4,652;16,817
4,653;16,815
4,654;16,813
4,655;16,811
4,656;16,809
4,657;16,806
4,659;16,804
4,660;16,802
4,661;16,800
4,662;16,798
4,663;16,796
4,664;16,793
4,665;16,791
4,666;16,789
4,667;16,787
4,668;16,785
4,670;16,783
4,671;16,781
4,672;16,779
4,673;16,777
4,674;16,776
4,675;16,774
4,676;16,772
4,677;16,771
4,678;16,770
4,679;16,768
4,681;16,767
4,682;16,766
4,683;16,764
4,684;16,763
4,685;16,761
4,686;16,760
4,687;16,758
4,688;16,756
4,689;16,754
4,690;16,752
4,692;16,750
4,693;16,748
4,694;16,746
4,695;16,744
4,696;16,742
4,697;16,740
4,698;16,738
4,699;16,736
4,700;16,733
4,701;16,731
4,703;16,729
4,704;16,727
4,705;16,725
4,706;16,723
