time;flow
0,00087;0,28513
0,00091;0,28503
0,00095;0,28493
0,00099;0,28482
0,00103;0,28472
0,00107;0,28461
0,00111;0,28451
0,00115;0,28441
0,00119;0,28431
0,00123;0,28422
0,00127;0,28414
0,00131;0,28406
0,00135;0,28399
0,00139;0,28392
0,00143;0,28385
0,00147;0,28378
0,00151;0,28370
0,00155;0,28362
0,00159;0,28354
0,00163;0,28345
0,00167;0,28335
0,00171;0,28325
0,00175;0,28315
0,00179;0,28304
0,00183;0,28293
0,00187;0,28283
0,00191;0,28273
0,00195;0,28263
0,00199;0,28254
0,00203;0,28246
0,00207;0,28238
0,00211;0,28230
0,00215;0,28223
0,00219;0,28216
0,00223;0,28209
0,00227;0,28202
0,00231;0,28195
0,00235;0,28189
0,00239;0,28182
0,00243;0,28175
0,00247;0,28168
0,00251;0,28160
0,00255;0,28152
0,00259;0,28144
0,00263;0,28136
0,00267;0,28127
0,00271;0,28118
0,00275;0,28108
0,00279;0,28098
0,00283;0,28087
0,00287;0,28077
0,00291;0,28067
0,00295;0,28056
0,00299;0,28046
0,00303;0,28036
0,00307;0,28027
0,00311;0,28017
0,00315;0,28008
0,00319;0,27999
0,00323;0,27989
0,00327;0,27979
0,00331;0,27969
0,00335;0,27957
0,00339;0,27945
0,00343;0,27932
0,00347;0,27918
0,00351;0,27903
0,00355;0,27888
0,00359;0,27872
0,00363;0,27857
0,00367;0,27840
0,00371;0,27824
0,00375;0,27808
0,00379;0,27793
0,00383;0,27777
0,00387;0,27762
0,00391;0,27747
0,00395;0,27732
0,00399;0,27717
0,00403;0,27702
0,00407;0,27687
0,00411;0,27672
0,00415;0,27658
0,00419;0,27643
0,00423;0,27628
0,00427;0,27613
0,00431;0,27598
0,00435;0,27583
0,00439;0,27567
0,00443;0,27552
0,00447;0,27536
0,00451;0,27520
0,00455;0,27505
0,00459;0,27489
0,00463;0,27473
0,00467;0,27458
0,00471;0,27443
0,00475;0,27428
0,00479;0,27414
0,00483;0,27400
0,00487;0,27387
0,00491;0,27375
0,00495;0,27363
0,00499;0,27351
0,00503;0,27339
0,00507;0,27326
0,00511;0,27314
0,00515;0,27301
0,00519;0,27287
0,00523;0,27272
0,00527;0,27257
0,00531;0,27242
0,00535;0,27226
0,00539;0,27211
0,00543;0,27195
0,00547;0,27180
0,00551;0,27165
0,00555;0,27151
0,00559;0,27137
0,00563;0,27124
0,00567;0,27112
0,00571;0,27100
0,00575;0,27088
0,00579;0,27076
0,00583;0,27063
0,00587;0,27051
0,00591;0,27037
0,00595;0,27023
0,00599;0,27009
0,00603;0,26994
0,00607;0,26979
0,00611;0,26963
0,00615;0,26948
0,00619;0,26932
0,00623;0,26916
0,00627;0,26901
0,00631;0,26885
0,00635;0,26870
0,00639;0,26855
0,00643;0,26840
0,00647;0,26825
0,00651;0,26810
0,00655;0,26795
0,00659;0,26780
0,00663;0,26765
0,00667;0,26750
0,00671;0,26734
0,00675;0,26719
0,00679;0,26704
0,00683;0,26689
0,00687;0,26674
0,00691;0,26659
0,00695;0,26644
0,00699;0,26628
0,00703;0,26613
0,00707;0,26598
0,00711;0,26583
0,00715;0,26568
0,00719;0,26553
0,00723;0,26538
0,00727;0,26522
0,00731;0,26507
0,00735;0,26492
0,00739;0,26477
0,00743;0,26462
0,00747;0,26447
0,00751;0,26432
0,00755;0,26417
0,00759;0,26402
0,00763;0,26386
0,00767;0,26371
0,00771;0,26356
0,00775;0,26341
0,00779;0,26326
0,00783;0,26310
0,00787;0,26295
0,00791;0,26280
0,00795;0,26265
0,00799;0,26250
0,00803;0,26235
0,00807;0,26220
0,00811;0,26205
0,00815;0,26190
0,00819;0,26176
0,00823;0,26161
0,00827;0,26146
0,00831;0,26130
0,00835;0,26115
0,00839;0,26099
0,00843;0,26083
0,00847;0,26067
0,00851;0,26051
0,00855;0,26035
0,00859;0,26019
0,00863;0,26003
0,00867;0,25988
0,00871;0,25974
0,00875;0,25961
0,00879;0,25949
0,00883;0,25938
0,00887;0,25928
0,00891;0,25918
0,00895;0,25909
0,00899;0,25900
0,00903;0,25891
0,00907;0,25881
0,00911;0,25870
0,00915;0,25858
0,00919;0,25845
0,00923;0,25831
0,00927;0,25816
0,00931;0,25801
0,00935;0,25785
0,00939;0,25769
0,00943;0,25752
0,00947;0,25736
0,00951;0,25720
0,00955;0,25705
0,00959;0,25689
0,00963;0,25674
0,00967;0,25659
0,00971;0,25644
0,00975;0,25629
0,00979;0,25614
0,00983;0,25599
0,00987;0,25584
0,00991;0,25570
0,00995;0,25554
0,00999;0,25539
0,01003;0,25524
0,01007;0,25509
0,01011;0,25494
0,01015;0,25479
0,01019;0,25463
0,01023;0,25448
0,01027;0,25433
0,01031;0,25418
0,01035;0,25403
0,01039;0,25388
0,01043;0,25373
0,01047;0,25357
0,01051;0,25342
0,01055;0,25327
0,01059;0,25312
0,01063;0,25297
0,01067;0,25282
0,01071;0,25267
0,01075;0,25251
0,01079;0,25236
0,01083;0,25221
0,01087;0,25206
0,01091;0,25191
0,01095;0,25176
0,01099;0,25161
0,01103;0,25146
0,01107;0,25131
0,01111;0,25116
0,01115;0,25101
0,01119;0,25086
0,01123;0,25070
